tour,selection_step,candidate,model,window,matches,brier_score,log_loss,accuracy
ATP,overall,k32-fixed-half1095-w0.5-bof,overall_elo,1983-1987,14604,0.21257033888751936,0.6116731202049922,0.6542728019720625
ATP,overall,k32-fixed-half1825-w0.5-no-bof,overall_elo,1978-1982,17502,0.19572606867457765,0.5732806103710354,0.6935207404868015
ATP,overall,k32-fixed-half1825-w0.5-no-bof,overall_elo,1983-1987,14604,0.21205922340975414,0.610482409600437,0.6574226239386469
ATP,overall,k32-fixed-half1825-w0.5-bof,overall_elo,1978-1982,17502,0.19574500759296368,0.5733431723390993,0.6939206947777397
ATP,overall,k32-fixed-half1825-w0.5-bof,overall_elo,1983-1987,14604,0.21206830887811118,0.6104636872976333,0.6570117775951794
ATP,overall,k32-rank-half0-w0.5-no-bof,overall_elo,1978-1982,17502,0.1958555930199673,0.574399175438018,0.6957490572505999
ATP,overall,k32-rank-half0-w0.5-no-bof,overall_elo,1983-1987,14604,0.21804401025072195,0.6294037117612745,0.6561216105176664
ATP,overall,k32-rank-half0-w0.5-bof,overall_elo,1978-1982,17502,0.19583283322992903,0.5744017545863263,0.6959776025597074
ATP,overall,k32-rank-half0-w0.5-bof,overall_elo,1983-1987,14604,0.2181738721973095,0.6300913204466148,0.6567378800328677
ATP,overall,k32-rank-half1095-w0.5-no-bof,overall_elo,1978-1982,17502,0.19694846060529164,0.5763616354588116,0.6920923323048794
ATP,overall,k32-rank-half1095-w0.5-no-bof,overall_elo,1983-1987,14604,0.21417921320867078,0.6157650184481935,0.6553683922213093
ATP,overall,k32-rank-half1095-w0.5-bof,overall_elo,1978-1982,17502,0.19696456635765688,0.5764036422159455,0.6906067877956805
ATP,overall,k32-rank-half1095-w0.5-bof,overall_elo,1983-1987,14604,0.21433050019800554,0.6161673710228674,0.6552314434401534
ATP,overall,k32-rank-half1825-w0.5-no-bof,overall_elo,1978-1982,17502,0.1957586114295052,0.5733214577566154,0.6935778768140783
ATP,overall,k32-rank-half1825-w0.5-no-bof,overall_elo,1983-1987,14604,0.2144651240407905,0.6169104292533152,0.6571487263763353
ATP,overall,k32-rank-half1825-w0.5-bof,overall_elo,1978-1982,17502,0.1957806945084521,0.5733918446792915,0.6938635584504628
ATP,overall,k32-rank-half1825-w0.5-bof,overall_elo,1983-1987,14604,0.21462830921518697,0.6174170185792378,0.6574910983292249
ATP,surface_blend_expanding,k32-fixed-half1825-w0.25-no-bof,surface_adjusted_elo,1978-1982,13426,0.19597418969282396,0.5739237818478986,0.6942499627588261
ATP,surface_blend_expanding,k32-fixed-half1825-w0.25-no-bof,surface_adjusted_elo,1983-1987,12054,0.2128779228822871,0.6125084300155718,0.6553841048614568
ATP,surface_blend_expanding,k32-fixed-half1825-w0.5-no-bof,surface_adjusted_elo,1978-1982,13426,0.19661095012507696,0.575706982279477,0.6941754804111425
ATP,surface_blend_expanding,k32-fixed-half1825-w0.5-no-bof,surface_adjusted_elo,1983-1987,12054,0.2131551634243048,0.6132745213311069,0.6570433051269288
ATP,surface_blend_expanding,k32-fixed-half1825-w0.75-no-bof,surface_adjusted_elo,1978-1982,13426,0.1988379900075295,0.5809676857780004,0.6909727394607478
ATP,surface_blend_expanding,k32-fixed-half1825-w0.75-no-bof,surface_adjusted_elo,1983-1987,12054,0.21477169510673363,0.6169941709947399,0.6501576240252198
ATP,surface_blend_rolling_1983_1987,k32-fixed-half1825-w0.25-bof,surface_adjusted_elo,1978-1982,13426,0.19595958662532156,0.5739332450597369,0.6940265157157753
ATP,surface_blend_rolling_1983_1987,k32-fixed-half1825-w0.25-bof,surface_adjusted_elo,1983-1987,12054,0.2127811401174316,0.6122048974457254,0.6554670648747304
ATP,surface_blend_rolling_1983_1987,k32-fixed-half1825-w0.5-bof,surface_adjusted_elo,1978-1982,13426,0.19657099680607734,0.5756477735365986,0.6943244451065097
ATP,surface_blend_rolling_1983_1987,k32-fixed-half1825-w0.5-bof,surface_adjusted_elo,1983-1987,12054,0.21303060787669603,0.612908609896141,0.6566285050605608
ATP,surface_blend_rolling_1983_1987,k32-fixed-half1825-w0.75-bof,surface_adjusted_elo,1978-1982,13426,0.19878232179423366,0.580870574457888,0.691121704156115
ATP,surface_blend_rolling_1983_1987,k32-fixed-half1825-w0.75-bof,surface_adjusted_elo,1983-1987,12054,0.21464933778982864,0.6166369495250047,0.6508213041314087
WTA,overall,k16-fixed-half0-w0.5-no-bof,overall_elo,1978-1982,13602,0.20312285066152133,0.5888603048194143,0.678944272901044
WTA,overall,k16-fixed-half0-w0.5-no-bof,overall_elo,1983-1987,10585,0.20272531393275375,0.5864299037371469,0.6721776098252243
WTA,overall,k16-fixed-half0-w0.5-bof,overall_elo,1978-1982,13602,0.20312285066152133,0.5888603048194143,0.678944272901044
WTA,overall,k16-fixed-half0-w0.5-bof,overall_elo,1983-1987,10585,0.20272531393275375,0.5864299037371469,0.6721776098252243
WTA,overall,k16-fixed-half1095-w0.5-no-bof,overall_elo,1978-1982,13602,0.2080102008286359,0.6016886946824131,0.673430377885605
WTA,overall,k16-fixed-half1095-w0.5-no-bof,overall_elo,1983-1987,10585,0.20521295358468777,0.5951574803365004,0.6796410014170997
WTA,overall,k16-fixed-half1095-w0.5-bof,overall_elo,1978-1982,13602,0.2080102008286359,0.6016886946824131,0.673430377885605
WTA,overall,k16-fixed-half1095-w0.5-bof,overall_elo,1983-1987,10585,0.20521295358468777,0.5951574803365004,0.6796410014170997
WTA,overall,k16-fixed-half1825-w0.5-no-bof,overall_elo,1978-1982,13602,0.20536884559240703,0.594827026924221,0.6762240846934274
WTA,overall,k16-fixed-half1825-w0.5-no-bof,overall_elo,1983-1987,10585,0.20304763133993098,0.5890274559035237,0.6767123287671233
WTA,overall,k16-fixed-half1825-w0.5-bof,overall_elo,1978-1982,13602,0.20536884559240703,0.594827026924221,0.6762240846934274
