tour,slam,year,matches,matches_lt_1,pct_matches_lt_1,matches_lt_5,pct_matches_lt_5,matches_lt_10,pct_matches_lt_10,matches_lt_20,pct_matches_lt_20,matches_missing_id
ATP,Roland Garros,1992,127,2,1.5748031496062993,5,3.937007874015748,17,13.385826771653543,28,22.04724409448819,0
ATP,Roland Garros,1993,127,2,1.5748031496062993,9,7.086614173228346,14,11.023622047244094,22,17.322834645669293,0
ATP,Roland Garros,1994,127,1,0.7874015748031497,11,8.661417322834646,11,8.661417322834646,21,16.53543307086614,0
ATP,Roland Garros,1995,127,2,1.5748031496062993,7,5.511811023622047,18,14.173228346456693,28,22.04724409448819,0
ATP,Roland Garros,1996,127,0,0.0,6,4.724409448818897,7,5.511811023622047,11,8.661417322834646,0
ATP,Roland Garros,1997,127,3,2.3622047244094486,8,6.299212598425197,13,10.236220472440944,17,13.385826771653543,0
ATP,Roland Garros,1998,127,3,2.3622047244094486,10,7.874015748031496,16,12.598425196850394,19,14.960629921259843,0
ATP,Roland Garros,1999,127,5,3.937007874015748,15,11.811023622047244,16,12.598425196850394,21,16.53543307086614,0
ATP,Roland Garros,2000,127,2,1.5748031496062993,9,7.086614173228346,14,11.023622047244094,26,20.47244094488189,0
ATP,Roland Garros,2001,127,1,0.7874015748031497,5,3.937007874015748,14,11.023622047244094,24,18.89763779527559,0
ATP,Roland Garros,2002,127,2,1.5748031496062993,12,9.448818897637794,14,11.023622047244094,27,21.25984251968504,0
ATP,Roland Garros,2003,127,1,0.7874015748031497,3,2.3622047244094486,8,6.299212598425197,20,15.748031496062993,0
ATP,Roland Garros,2004,127,5,3.937007874015748,15,11.811023622047244,18,14.173228346456693,27,21.25984251968504,0
ATP,Roland Garros,2005,127,4,3.1496062992125986,10,7.874015748031496,14,11.023622047244094,21,16.53543307086614,0
ATP,Roland Garros,2006,127,3,2.3622047244094486,7,5.511811023622047,16,12.598425196850394,29,22.834645669291337,0
ATP,Roland Garros,2007,127,3,2.3622047244094486,8,6.299212598425197,15,11.811023622047244,24,18.89763779527559,0
ATP,Roland Garros,2008,127,2,1.5748031496062993,13,10.236220472440944,26,20.47244094488189,29,22.834645669291337,0
ATP,Roland Garros,2009,127,2,1.5748031496062993,5,3.937007874015748,11,8.661417322834646,23,18.11023622047244,0
ATP,Roland Garros,2010,127,1,0.7874015748031497,8,6.299212598425197,11,8.661417322834646,24,18.89763779527559,0
ATP,Roland Garros,2011,127,2,1.5748031496062993,6,4.724409448818897,6,4.724409448818897,22,17.322834645669293,0
ATP,Roland Garros,2012,127,0,0.0,0,0.0,3,2.3622047244094486,21,16.53543307086614,0
ATP,Roland Garros,2013,127,2,1.5748031496062993,7,5.511811023622047,9,7.086614173228346,17,13.385826771653543,0
ATP,Roland Garros,2014,127,4,3.1496062992125986,6,4.724409448818897,14,11.023622047244094,21,16.53543307086614,0
ATP,Roland Garros,2015,127,1,0.7874015748031497,8,6.299212598425197,9,7.086614173228346,16,12.598425196850394,0
ATP,Roland Garros,2016,127,5,3.937007874015748,6,4.724409448818897,13,10.236220472440944,20,15.748031496062993,0
ATP,Roland Garros,2017,127,3,2.3622047244094486,10,7.874015748031496,12,9.448818897637794,18,14.173228346456693,0
ATP,Roland Garros,2018,127,3,2.3622047244094486,5,3.937007874015748,14,11.023622047244094,24,18.89763779527559,0
