model,tour,slam,probability_bin,matches,mean_probability,observed_win_rate
surface_adjusted_elo,WTA,Wimbledon,1,260,0.1532035753598944,0.1423076923076923
surface_adjusted_elo,WTA,Wimbledon,2,346,0.2535811783871002,0.2254335260115607
surface_adjusted_elo,WTA,Wimbledon,3,467,0.35017521089288567,0.31263383297644537
surface_adjusted_elo,WTA,Wimbledon,4,539,0.4521986785914485,0.46938775510204084
surface_adjusted_elo,WTA,Wimbledon,5,639,0.5534791305342406,0.543035993740219
surface_adjusted_elo,WTA,Wimbledon,6,677,0.6486919441163397,0.6336779911373708
surface_adjusted_elo,WTA,Wimbledon,7,691,0.750811926229946,0.7771345875542692
surface_adjusted_elo,WTA,Wimbledon,8,557,0.8480248573977824,0.8473967684021544
surface_adjusted_elo,WTA,Wimbledon,9,379,0.9420238007014752,0.9366754617414248
surface_elo,ATP,Australian Open,0,82,0.0740910994778562,0.012195121951219513
surface_elo,ATP,Australian Open,1,278,0.1558000557751147,0.06115107913669065
surface_elo,ATP,Australian Open,2,456,0.2526730059559831,0.1513157894736842
surface_elo,ATP,Australian Open,3,583,0.35187438683132066,0.26758147512864494
surface_elo,ATP,Australian Open,4,801,0.45031789438511943,0.41198501872659177
surface_elo,ATP,Australian Open,5,830,0.5486758447378609,0.5120481927710844
surface_elo,ATP,Australian Open,6,717,0.6471722965851673,0.6527196652719666
surface_elo,ATP,Australian Open,7,561,0.7471499679625331,0.8074866310160428
surface_elo,ATP,Australian Open,8,385,0.8433508117736789,0.9064935064935065
surface_elo,ATP,Australian Open,9,121,0.9275212703112905,0.9752066115702479
surface_elo,ATP,Roland Garros,0,52,0.0756062710651095,0.019230769230769232
surface_elo,ATP,Roland Garros,1,241,0.1570818230832586,0.05394190871369295
surface_elo,ATP,Roland Garros,2,485,0.25389046161187095,0.14432989690721648
surface_elo,ATP,Roland Garros,3,678,0.35236480451853,0.25073746312684364
surface_elo,ATP,Roland Garros,4,883,0.45206244018799013,0.3714609286523216
surface_elo,ATP,Roland Garros,5,908,0.5480599513995041,0.5407488986784141
surface_elo,ATP,Roland Garros,6,686,0.6470075522944283,0.685131195335277
surface_elo,ATP,Roland Garros,7,540,0.7454869636552686,0.8055555555555556
surface_elo,ATP,Roland Garros,8,277,0.8429607692790295,0.9097472924187726
surface_elo,ATP,Roland Garros,9,62,0.9273368596262638,0.9838709677419355
surface_elo,ATP,US Open,0,78,0.07524372266216438,0.0
surface_elo,ATP,US Open,1,287,0.15414283171309945,0.07317073170731707
surface_elo,ATP,US Open,2,443,0.25065669361076065,0.16930022573363432
surface_elo,ATP,US Open,3,586,0.3498896921520352,0.2815699658703072
surface_elo,ATP,US Open,4,807,0.452586857931956,0.40272614622057
