tour,slam,era,entry_bucket,is_unranked,match_appearances,entrants_lt_1,pct_entrants_lt_1,entrants_lt_5,pct_entrants_lt_5,entrants_lt_10,pct_entrants_lt_10,entrants_lt_20,pct_entrants_lt_20,missing_ids
ATP,Wimbledon,1988-1999,Q,False,313,13,4.15335463258786,53,16.93290734824281,91,29.073482428115017,137,43.76996805111821,0
ATP,Wimbledon,1988-1999,WC,False,150,14,9.333333333333334,33,22.0,55,36.666666666666664,78,52.0,0
ATP,Wimbledon,2000-2009,DIRECT_OR_MISSING,False,2120,1,0.04716981132075472,1,0.04716981132075472,11,0.5188679245283019,49,2.311320754716981,0
ATP,Wimbledon,2000-2009,DIRECT_OR_MISSING,True,7,0,0.0,0,0.0,0,0.0,0,0.0,0
ATP,Wimbledon,2000-2009,LL,False,58,1,1.7241379310344827,7,12.068965517241379,9,15.517241379310345,23,39.6551724137931,0
ATP,Wimbledon,2000-2009,Q,False,241,9,3.7344398340248963,34,14.107883817427386,67,27.800829875518673,104,43.15352697095436,0
ATP,Wimbledon,2000-2009,WC,False,114,3,2.6315789473684212,20,17.54385964912281,39,34.21052631578947,57,50.0,0
ATP,Wimbledon,2010-2019,DIRECT_OR_MISSING,False,2188,0,0.0,8,0.3656307129798903,17,0.7769652650822669,45,2.056672760511883,0
ATP,Wimbledon,2010-2019,LL,False,38,0,0.0,1,2.6315789473684212,5,13.157894736842104,9,23.68421052631579,0
ATP,Wimbledon,2010-2019,Q,False,249,12,4.819277108433735,37,14.859437751004016,56,22.48995983935743,98,39.3574297188755,0
ATP,Wimbledon,2010-2019,WC,False,65,1,1.5384615384615385,7,10.76923076923077,11,16.923076923076923,23,35.38461538461539,0
ATP,Wimbledon,2020-2025,DIRECT_OR_MISSING,False,1109,1,0.09017132551848513,12,1.0820559062218214,25,2.254283137962128,48,4.328223624887285,0
ATP,Wimbledon,2020-2025,LL,False,23,0,0.0,0,0.0,3,13.043478260869565,7,30.434782608695652,0
ATP,Wimbledon,2020-2025,Q,False,94,2,2.127659574468085,10,10.638297872340425,23,24.46808510638298,48,51.06382978723404,0
ATP,Wimbledon,2020-2025,WC,False,44,3,6.818181818181818,18,40.90909090909091,22,50.0,25,56.81818181818182,0
WTA,Australian Open,1988-1999,DIRECT_OR_MISSING,False,2723,1,0.03672420124862284,22,0.8079324274697025,88,3.23172970987881,227,8.336393683437386,0
WTA,Australian Open,1988-1999,DIRECT_OR_MISSING,True,15,1,6.666666666666667,3,20.0,3,20.0,6,40.0,0
WTA,Australian Open,1988-1999,LL,False,23,2,8.695652173913043,4,17.391304347826086,6,26.08695652173913,8,34.78260869565217,0
WTA,Australian Open,1988-1999,OTHER:SR,False,8,0,0.0,0,0.0,0,0.0,0,0.0,0
WTA,Australian Open,1988-1999,OTHER:SR,True,1,0,0.0,0,0.0,0,0.0,0,0.0,0
WTA,Australian Open,1988-1999,Q,False,149,6,4.026845637583893,33,22.14765100671141,65,43.624161073825505,91,61.07382550335571,0
WTA,Australian Open,1988-1999,Q,True,4,0,0.0,1,25.0,2,50.0,4,100.0,0
WTA,Australian Open,1988-1999,WC,False,109,10,9.174311926605505,38,34.862385321100916,49,44.95412844036697,62,56.88073394495413,0
WTA,Australian Open,1988-1999,WC,True,16,4,25.0,11,68.75,13,81.25,13,81.25,0
WTA,Australian Open,2000-2009,DIRECT_OR_MISSING,False,2220,0,0.0,7,0.3153153153153153,25,1.1261261261261262,89,4.009009009009009,0
WTA,Australian Open,2000-2009,LL,False,3,0,0.0,0,0.0,0,0.0,0,0.0,0
WTA,Australian Open,2000-2009,OTHER:SR,False,12,0,0.0,0,0.0,2,16.666666666666668,2,16.666666666666668,0
WTA,Australian Open,2000-2009,Q,False,184,3,1.6304347826086956,25,13.58695652173913,54,29.347826086956523,91,49.45652173913044,0
WTA,Australian Open,2000-2009,WC,False,121,4,3.3057851239669422,19,15.702479338842975,33,27.272727272727273,54,44.62809917355372,0
