tour,slam,year,round,match_count
ATP,Australian Open,2012,QF,4
ATP,Australian Open,2012,SF,2
ATP,Australian Open,2012,F,1
ATP,Australian Open,2013,R128,64
ATP,Australian Open,2013,R64,32
ATP,Australian Open,2013,R32,16
ATP,Australian Open,2013,R16,8
ATP,Australian Open,2013,QF,4
ATP,Australian Open,2013,SF,2
ATP,Australian Open,2013,F,1
ATP,Australian Open,2014,R128,64
ATP,Australian Open,2014,R64,32
ATP,Australian Open,2014,R32,16
ATP,Australian Open,2014,R16,8
ATP,Australian Open,2014,QF,4
ATP,Australian Open,2014,SF,2
ATP,Australian Open,2014,F,1
ATP,Australian Open,2015,R128,64
ATP,Australian Open,2015,R64,32
ATP,Australian Open,2015,R32,16
ATP,Australian Open,2015,R16,8
ATP,Australian Open,2015,QF,4
ATP,Australian Open,2015,SF,2
ATP,Australian Open,2015,F,1
ATP,Australian Open,2016,R128,64
ATP,Australian Open,2016,R64,32
ATP,Australian Open,2016,R32,16
ATP,Australian Open,2016,R16,8
ATP,Australian Open,2016,QF,4
ATP,Australian Open,2016,SF,2
ATP,Australian Open,2016,F,1
ATP,Australian Open,2017,R128,64
ATP,Australian Open,2017,R64,32
ATP,Australian Open,2017,R32,16
ATP,Australian Open,2017,R16,8
ATP,Australian Open,2017,QF,4
ATP,Australian Open,2017,SF,2
ATP,Australian Open,2017,F,1
ATP,Australian Open,2018,R128,64
ATP,Australian Open,2018,R64,32
ATP,Australian Open,2018,R32,16
ATP,Australian Open,2018,R16,8
ATP,Australian Open,2018,QF,4
ATP,Australian Open,2018,SF,2
ATP,Australian Open,2018,F,1
ATP,Australian Open,2019,R128,64
ATP,Australian Open,2019,R64,32
ATP,Australian Open,2019,R32,16
ATP,Australian Open,2019,R16,8
ATP,Australian Open,2019,QF,4
ATP,Australian Open,2019,SF,2
ATP,Australian Open,2019,F,1
ATP,Australian Open,2020,R128,64
ATP,Australian Open,2020,R64,32
ATP,Australian Open,2020,R32,16
ATP,Australian Open,2020,R16,8
ATP,Australian Open,2020,QF,4
ATP,Australian Open,2020,SF,2
ATP,Australian Open,2020,F,1
ATP,Australian Open,2021,R128,64
ATP,Australian Open,2021,R64,32
ATP,Australian Open,2021,R32,16
ATP,Australian Open,2021,R16,8
ATP,Australian Open,2021,QF,4
ATP,Australian Open,2021,SF,2
ATP,Australian Open,2021,F,1
ATP,Australian Open,2022,R128,64
ATP,Australian Open,2022,R64,32
ATP,Australian Open,2022,R32,16
ATP,Australian Open,2022,R16,8
ATP,Australian Open,2022,QF,4
ATP,Australian Open,2022,SF,2
ATP,Australian Open,2022,F,1
ATP,Australian Open,2023,R128,64
ATP,Australian Open,2023,R64,32
ATP,Australian Open,2023,R32,16
ATP,Australian Open,2023,R16,8
ATP,Australian Open,2023,QF,4
ATP,Australian Open,2023,SF,2
ATP,Australian Open,2023,F,1
ATP,Australian Open,2024,R128,64
ATP,Australian Open,2024,R64,32
ATP,Australian Open,2024,R32,16
ATP,Australian Open,2024,R16,8
ATP,Australian Open,2024,QF,4
ATP,Australian Open,2024,SF,2
ATP,Australian Open,2024,F,1
ATP,Australian Open,2025,R128,64
ATP,Australian Open,2025,R64,32
ATP,Australian Open,2025,R32,16
ATP,Australian Open,2025,R16,8
ATP,Australian Open,2025,QF,4
ATP,Australian Open,2025,SF,2
ATP,Australian Open,2025,F,1
ATP,Roland Garros,1968,R128,64
ATP,Roland Garros,1968,R64,32
ATP,Roland Garros,1968,R32,16
ATP,Roland Garros,1968,R16,8
ATP,Roland Garros,1968,QF,4
ATP,Roland Garros,1968,SF,2
ATP,Roland Garros,1968,F,1
ATP,Roland Garros,1969,R128,64
ATP,Roland Garros,1969,R64,32
ATP,Roland Garros,1969,R32,16
ATP,Roland Garros,1969,R16,8
ATP,Roland Garros,1969,QF,4
ATP,Roland Garros,1969,SF,2
ATP,Roland Garros,1969,F,1
ATP,Roland Garros,1970,R128,64
ATP,Roland Garros,1970,R64,32
ATP,Roland Garros,1970,R32,16
ATP,Roland Garros,1970,R16,8
ATP,Roland Garros,1970,QF,4
ATP,Roland Garros,1970,SF,2
ATP,Roland Garros,1970,F,1
ATP,Roland Garros,1971,R128,64
ATP,Roland Garros,1971,R64,32
ATP,Roland Garros,1971,R32,16
ATP,Roland Garros,1971,R16,8
ATP,Roland Garros,1971,QF,4
ATP,Roland Garros,1971,SF,2
ATP,Roland Garros,1971,F,1
ATP,Roland Garros,1972,R128,16
ATP,Roland Garros,1972,R64,32
ATP,Roland Garros,1972,R32,16
ATP,Roland Garros,1972,R16,8
ATP,Roland Garros,1972,QF,4
ATP,Roland Garros,1972,SF,2
ATP,Roland Garros,1972,F,1
ATP,Roland Garros,1973,R128,64
ATP,Roland Garros,1973,R64,32
ATP,Roland Garros,1973,R32,16
ATP,Roland Garros,1973,R16,8
ATP,Roland Garros,1973,QF,4
ATP,Roland Garros,1973,SF,2
ATP,Roland Garros,1973,F,1
ATP,Roland Garros,1974,R128,64
ATP,Roland Garros,1974,R64,32
ATP,Roland Garros,1974,R32,16
ATP,Roland Garros,1974,R16,8
ATP,Roland Garros,1974,QF,4
ATP,Roland Garros,1974,SF,2
ATP,Roland Garros,1974,F,1
ATP,Roland Garros,1975,R128,64
