analysis_version,population,tour,slam,model,dimension,group_value,start_year,end_year,score_matches,upset_matches,calibration_matches,expected_upsets,actual_upsets,excess_upsets,expected_per_100,actual_per_100,excess_per_100,standardized_excess,brier_score,log_loss,score_tournament_editions,upset_tournament_editions,calibration_tournament_editions,bootstrap_replicates,bootstrap_seed,confidence_level,expected_per_100_ci_lower,expected_per_100_ci_upper,actual_per_100_ci_lower,actual_per_100_ci_upper,excess_per_100_ci_lower,excess_per_100_ci_upper,standardized_excess_ci_lower,standardized_excess_ci_upper,brier_score_ci_lower,brier_score_ci_upper,log_loss_ci_lower,log_loss_ci_upper
slam-upsets-v1,completed_non_retirement,ATP,US Open,surface_adjusted_elo,era,2010-2019,2010,2019,1182,1182,1182,352.4143772878989,305,-47.4143772878989,29.815091141108198,25.80372250423012,-4.011368636878079,-3.1385756361449597,0.17497495430282964,0.5231581820764432,10,10,10,2000,3807881604381035888,0.95,29.079702312800737,30.678374330593474,22.56966332547728,29.47154506254536,-6.803135648032418,-0.9561670545218476,-5.337355147953257,-0.7466482209781587,0.1629141735742437,0.18716845201640323,0.49610235696842137,0.5507979725276504
slam-upsets-v1,completed_non_retirement,ATP,US Open,surface_adjusted_elo,era,2020-2025,2020,2025,726,725,725,234.9368514216497,214,-20.936851421649692,32.4050829547103,29.517241379310345,-2.8878415753999573,-1.718145079835216,0.1886757532618983,0.5561645150817837,6,6,6,2000,17096582466230270785,0.95,31.367924929412005,33.4570481850095,27.423822714681442,31.38888888888889,-5.207942886442865,-0.7280125117599416,-3.087150300015989,-0.43278360807053,0.1847191408835143,0.19282551226535266,0.5462854852926078,0.5665367166687928
slam-upsets-v1,completed_non_retirement,ATP,US Open,surface_adjusted_elo,year,1988,1988,1988,124,124,124,39.041817588828245,39,-0.04181758882824482,31.485336765184066,31.451612903225804,-0.03372386195826195,-0.008402963791201867,0.18278575731798394,0.538593441883157,1,1,1,2000,7955441781940555297,0.95,31.485336765184066,31.485336765184066,31.451612903225804,31.451612903225804,-0.03372386195826195,-0.03372386195826195,-0.008402963791201867,-0.008402963791201867,0.18278575731798394,0.18278575731798394,0.538593441883157,0.538593441883157
slam-upsets-v1,completed_non_retirement,ATP,US Open,surface_adjusted_elo,year,1989,1989,1989,124,124,124,38.146084986423205,34,-4.1460849864232046,30.76297176324452,27.419354838709676,-3.3436169245348424,-0.8373226167556678,0.17957131481583957,0.5375970158198544,1,1,1,2000,13521435059897550268,0.95,30.76297176324452,30.76297176324452,27.419354838709676,27.419354838709676,-3.3436169245348424,-3.3436169245348424,-0.8373226167556678,-0.8373226167556678,0.17957131481583957,0.17957131481583957,0.5375970158198544,0.5375970158198544
slam-upsets-v1,completed_non_retirement,ATP,US Open,surface_adjusted_elo,year,1990,1990,1990,123,123,123,40.715673130285246,35,-5.715673130285246,33.10217327665467,28.455284552845526,-4.646888723809143,-1.1278059329736565,0.19369354263815625,0.5721311878342343,1,1,1,2000,3490610906249627965,0.95,33.10217327665467,33.10217327665467,28.455284552845526,28.455284552845526,-4.646888723809143,-4.646888723809143,-1.1278059329736565,-1.1278059329736565,0.19369354263815625,0.19369354263815625,0.5721311878342343,0.5721311878342343
slam-upsets-v1,completed_non_retirement,ATP,US Open,surface_adjusted_elo,year,1991,1991,1991,121,120,120,40.17886219686442,31,-9.178862196864422,33.48238516405369,25.833333333333336,-7.649051830720352,-1.835290165078801,0.18505466868955509,0.5500368562812704,1,1,1,2000,7298171487175761046,0.95,33.48238516405369,33.48238516405369,25.833333333333336,25.833333333333336,-7.649051830720352,-7.649051830720352,-1.835290165078801,-1.835290165078801,0.18505466868955509,0.18505466868955509,0.5500368562812704,0.5500368562812704
slam-upsets-v1,completed_non_retirement,ATP,US Open,surface_adjusted_elo,year,1992,1992,1992,120,120,120,40.14834188692973,25,-15.148341886929728,33.45695157244144,20.833333333333336,-12.623618239108108,-3.0166488477245514,0.15915085470843068,0.4921079192569362,1,1,1,2000,17064562680422022671,0.95,33.45695157244144,33.45695157244144,20.833333333333336,20.833333333333336,-12.623618239108108,-12.623618239108108,-3.0166488477245514,-3.0166488477245514,0.15915085470843068,0.15915085470843068,0.4921079192569362,0.4921079192569362
slam-upsets-v1,completed_non_retirement,ATP,US Open,surface_adjusted_elo,year,1993,1993,1993,120,120,120,40.94177712168747,37,-3.9417771216874726,34.11814760140623,30.833333333333336,-3.284814268072894,-0.7850086053845783,0.19578619427799895,0.570622606585038,1,1,1,2000,17910301734901225513,0.95,34.11814760140623,34.11814760140623,30.833333333333336,30.833333333333336,-3.284814268072894,-3.284814268072894,-0.7850086053845783,-0.7850086053845783,0.19578619427799895,0.19578619427799895,0.570622606585038,0.570622606585038
slam-upsets-v1,completed_non_retirement,ATP,US Open,surface_adjusted_elo,year,1994,1994,1994,123,123,123,41.285704649589675,38,-3.2857046495896753,33.56561353625177,30.89430894308943,-2.6713045931623376,-0.6468577645899037,0.20576067612986018,0.5977830226854466,1,1,1,2000,3776859516500313186,0.95,33.56561353625177,33.56561353625177,30.89430894308943,30.89430894308943,-2.6713045931623376,-2.6713045931623376,-0.6468577645899037,-0.6468577645899037,0.20576067612986018,0.20576067612986018,0.5977830226854466,0.5977830226854466
slam-upsets-v1,completed_non_retirement,ATP,US Open,surface_adjusted_elo,year,1995,1995,1995,123,123,123,38.79170564879644,33,-5.791705648796437,31.537972072192225,26.829268292682926,-4.708703779509299,-1.165636313213348,0.18805246542525908,0.553846853743015,1,1,1,2000,13545111585050364639,0.95,31.537972072192225,31.537972072192225,26.829268292682926,26.829268292682926,-4.708703779509299,-4.708703779509299,-1.165636313213348,-1.165636313213348,0.18805246542525908,0.18805246542525908,0.553846853743015,0.553846853743015
slam-upsets-v1,completed_non_retirement,ATP,US Open,surface_adjusted_elo,year,1996,1996,1996,123,123,123,39.837820262577154,35,-4.837820262577154,32.38847175819281,28.455284552845526,-3.9331872053472794,-0.9619723869064324,0.18805268906544045,0.5554258162005372,1,1,1,2000,17284420421426750863,0.95,32.38847175819281,32.38847175819281,28.455284552845526,28.455284552845526,-3.9331872053472794,-3.9331872053472794,-0.9619723869064324,-0.9619723869064324,0.18805268906544045,0.18805268906544045,0.5554258162005372,0.5554258162005372
slam-upsets-v1,completed_non_retirement,ATP,US Open,surface_adjusted_elo,year,1997,1997,1997,121,121,121,41.26031302151943,29,-12.26031302151943,34.09943224918961,23.96694214876033,-10.132490100429282,-2.412121110898213,0.1918722407530657,0.5674476507586835,1,1,1,2000,7573231774977292701,0.95,34.09943224918961,34.09943224918961,23.96694214876033,23.96694214876033,-10.132490100429282,-10.132490100429282,-2.412121110898213,-2.412121110898213,0.1918722407530657,0.1918722407530657,0.5674476507586835,0.5674476507586835
