analysis_version,population,tour,slam,model,window_start_edition,window_end_edition,window_start_year,window_end_year,window_editions,score_matches,upset_matches,calibration_matches,expected_upsets,actual_upsets,excess_upsets,expected_per_100,actual_per_100,excess_per_100,standardized_excess,brier_score,log_loss,score_tournament_editions,upset_tournament_editions,calibration_tournament_editions,bootstrap_replicates,bootstrap_seed,confidence_level,expected_per_100_ci_lower,expected_per_100_ci_upper,actual_per_100_ci_lower,actual_per_100_ci_upper,excess_per_100_ci_lower,excess_per_100_ci_upper,standardized_excess_ci_lower,standardized_excess_ci_upper,brier_score_ci_lower,brier_score_ci_upper,log_loss_ci_lower,log_loss_ci_upper
slam-upsets-v1,retirement_inclusive,WTA,Wimbledon,surface_elo,2017:2017-540,2022:2022-540,2017,2022,5,635,633,633,229.27366648031978,231,1.7263335196802245,36.220168480303286,36.492890995260666,0.2727225149573814,0.14666837953581063,0.2256002437392628,0.6452311952019346,5,5,5,2000,8521544401964385823,0.95,35.1368420087564,37.12873197983234,33.43898573692552,39.21259842519685,-3.370578057494052,3.8930731625430326,-1.793192584112307,2.116645812342426,0.21505145561133243,0.2323849197305433,0.6193627566915081,0.6621336088271856
slam-upsets-v1,retirement_inclusive,WTA,Wimbledon,surface_elo,2018:2018-540,2023:2023-540,2018,2023,5,635,634,634,229.27215741072075,239,9.727842589279248,36.162800853425985,37.69716088328075,1.534360029854771,0.8254883527076093,0.22915467379627577,0.6531939515157557,5,5,5,2000,12895285860773383473,0.95,35.09264372227169,37.06974520935809,36.17693522906793,39.37007874015748,-0.8469949515271648,4.277435017885794,-0.45221727220749497,2.3276574761048896,0.2259244278620081,0.23238705188363948,0.6439022012180191,0.6621404528567889
slam-upsets-v1,retirement_inclusive,WTA,Wimbledon,surface_elo,2019:2019-540,2024:2024-540,2019,2024,5,635,632,632,230.99268718544087,236,5.007312814559128,36.549475820481156,37.34177215189874,0.7922963314175836,0.4230703885142424,0.22960479391416924,0.6538838268521693,5,5,5,2000,5710874039168799454,0.95,35.475326605236205,37.46052690442271,35.87301587301587,38.89763779527559,-1.5044208756505952,3.545210519566326,-0.799955670959603,1.9146256835637196,0.2262581635155457,0.2323849197305433,0.6439409009693849,0.6621336088271856
slam-upsets-v1,retirement_inclusive,WTA,Wimbledon,surface_elo,2021:2021-540,2025:2025-540,2021,2025,5,635,632,632,235.89046245585982,234,-1.8904624558598186,37.32444026200314,37.025316455696206,-0.29912380630693336,-0.1584948821706778,0.2296644745383773,0.653349393096728,5,5,5,2000,5495324589723297869,0.95,36.72801541209467,37.93391446345573,35.87301587301587,37.95275590551181,-1.5875110314068335,0.4481145887266116,-0.8411924391960639,0.23858712357686324,0.22622454652447338,0.23250428097895903,0.6436671397852533,0.6613254138876119
slam-upsets-v1,retirement_inclusive,WTA,Wimbledon,surface_adjusted_elo,1988:1988-W-SL-GBR-01A-1988,1992:1992-W-SL-GBR-01A-1992,1988,1992,5,635,635,635,168.75934744369826,159,-9.75934744369826,26.576275187983978,25.039370078740156,-1.5369051092438204,-0.9296134828216389,0.1670527912154989,0.4974781890008074,5,5,5,2000,6088037530127165489,0.95,25.67155744729203,27.4809929286759,22.519685039370078,27.086614173228345,-3.84473337654739,0.45491670537023676,-2.3247359970490153,0.2754471719393508,0.15731291465955352,0.17720829494692994,0.4737618186040122,0.5245866488301135
slam-upsets-v1,retirement_inclusive,WTA,Wimbledon,surface_adjusted_elo,1989:1989-W-SL-GBR-01A-1989,1993:1993-W-SL-GBR-01A-1993,1989,1993,5,635,635,635,170.46974311524886,152,-18.46974311524886,26.845628837047066,23.937007874015748,-2.9086209630313165,-1.752925771129775,0.16230327945016762,0.4874045434796234,5,5,5,2000,8508932467558199656,0.95,26.157942923728772,27.53949861832065,20.787401574803148,27.086614173228345,-5.861287490259176,0.04404556419656972,-3.544513563202993,0.02645461632996358,0.14920264607951267,0.17569838028663465,0.4554153368704667,0.520194120920832
slam-upsets-v1,retirement_inclusive,WTA,Wimbledon,surface_adjusted_elo,1990:1990-W-SL-GBR-01A-1990,1994:1994-W-SL-GBR-01A-1994,1990,1994,5,634,634,634,174.45513833943025,156,-18.45513833943025,27.51658333429499,24.605678233438486,-2.910905100856506,-1.7351903491054517,0.16257094934843783,0.4888372822958681,5,5,5,2000,6782297471387702819,0.95,26.59621264667401,28.483140108749602,20.787401574803148,28.436018957345972,-5.861287490259176,0.04879919183018949,-3.544513563202993,0.028683021749678735,0.14920264607951267,0.17656751549077848,0.4554153368704667,0.5228001996406244
slam-upsets-v1,retirement_inclusive,WTA,Wimbledon,surface_adjusted_elo,1991:1991-W-SL-GBR-01A-1991,1995:1995-W-SL-GBR-01A-1995,1991,1995,5,634,634,634,174.50846977110632,145,-29.50846977110632,27.524995232035696,22.87066246056782,-4.654332771467874,-2.769032727893736,0.15717512073397477,0.477061097773306,5,5,5,2000,922696746756409729,0.95,26.596367243372896,28.483140108749602,19.52755905511811,26.898734177215193,-7.2808251076071695,-1.6762502950366396,-4.391359939053957,-0.9769953762775953,0.14636347801621877,0.17147984722355875,0.45042352982575695,0.5136638480552532
slam-upsets-v1,retirement_inclusive,WTA,Wimbledon,surface_adjusted_elo,1992:1992-W-SL-GBR-01A-1992,1996:1996-W-SL-GBR-01A-1996,1992,1996,5,634,634,634,172.4047894461711,145,-27.404789446171094,27.193184455232032,22.87066246056782,-4.32252199466421,-2.578658916080028,0.1570663668755762,0.47944096615569554,5,5,5,2000,3191267403966879849,0.95,26.30514178045226,28.380225035126816,19.52755905511811,27.05696202531646,-7.372235560730648,-0.9602663964133583,-4.426166147628036,-0.5572182010684926,0.14636347801621877,0.1718408981040267,0.45042352982575695,0.5161411893062159
slam-upsets-v1,retirement_inclusive,WTA,Wimbledon,surface_adjusted_elo,1993:1993-W-SL-GBR-01A-1993,1997:1997-W-SL-GBR-01A-1997,1993,1997,5,634,634,634,173.516256288872,159,-14.516256288872,27.36849468278738,25.0788643533123,-2.2896303294750786,-1.3586707052733418,0.16623093970328892,0.5027418109238029,5,5,5,2000,4462360035429781893,0.95,26.512466361985183,28.42931265226919,20.62992125984252,29.699842022116904,-6.447385059580207,1.8812610664440086,-3.8551336231849924,1.1079524938130005,0.1486445534004341,0.1850103044517593,0.46067979759299926,0.5484353602451773
