analysis_version,population,tour,slam,model,exclusion_scope,exclusion_reason,excluded_rows
slam-upsets-v1,retirement_inclusive,ATP,Roland Garros,overall_elo,upset_and_favorite_calibration,exact_probability_tie,2
slam-upsets-v1,retirement_inclusive,ATP,Roland Garros,surface_elo,all_analysis_metrics,format_conflict,4
slam-upsets-v1,retirement_inclusive,ATP,Roland Garros,surface_elo,all_analysis_metrics,walkover,14
slam-upsets-v1,retirement_inclusive,ATP,Roland Garros,surface_elo,upset_and_favorite_calibration,exact_probability_tie,2
slam-upsets-v1,retirement_inclusive,ATP,Roland Garros,surface_adjusted_elo,all_analysis_metrics,format_conflict,4
slam-upsets-v1,retirement_inclusive,ATP,Roland Garros,surface_adjusted_elo,all_analysis_metrics,walkover,14
slam-upsets-v1,retirement_inclusive,ATP,Roland Garros,surface_adjusted_elo,upset_and_favorite_calibration,exact_probability_tie,2
slam-upsets-v1,retirement_inclusive,ATP,Wimbledon,overall_elo,all_analysis_metrics,walkover,14
slam-upsets-v1,retirement_inclusive,ATP,Wimbledon,surface_elo,all_analysis_metrics,walkover,14
slam-upsets-v1,retirement_inclusive,ATP,Wimbledon,surface_elo,upset_and_favorite_calibration,exact_probability_tie,18
slam-upsets-v1,retirement_inclusive,ATP,Wimbledon,surface_adjusted_elo,all_analysis_metrics,walkover,14
slam-upsets-v1,retirement_inclusive,ATP,US Open,overall_elo,all_analysis_metrics,walkover,15
slam-upsets-v1,retirement_inclusive,ATP,US Open,overall_elo,upset_and_favorite_calibration,exact_probability_tie,2
slam-upsets-v1,retirement_inclusive,ATP,US Open,surface_elo,all_analysis_metrics,walkover,15
slam-upsets-v1,retirement_inclusive,ATP,US Open,surface_elo,upset_and_favorite_calibration,exact_probability_tie,3
slam-upsets-v1,retirement_inclusive,ATP,US Open,surface_adjusted_elo,all_analysis_metrics,walkover,15
slam-upsets-v1,retirement_inclusive,ATP,US Open,surface_adjusted_elo,upset_and_favorite_calibration,exact_probability_tie,2
slam-upsets-v1,retirement_inclusive,WTA,Australian Open,overall_elo,all_analysis_metrics,walkover,4
slam-upsets-v1,retirement_inclusive,WTA,Australian Open,surface_elo,all_analysis_metrics,walkover,4
slam-upsets-v1,retirement_inclusive,WTA,Australian Open,surface_elo,upset_and_favorite_calibration,exact_probability_tie,1
slam-upsets-v1,retirement_inclusive,WTA,Australian Open,surface_adjusted_elo,all_analysis_metrics,walkover,4
slam-upsets-v1,retirement_inclusive,WTA,Roland Garros,overall_elo,all_analysis_metrics,walkover,12
slam-upsets-v1,retirement_inclusive,WTA,Roland Garros,surface_elo,all_analysis_metrics,walkover,12
slam-upsets-v1,retirement_inclusive,WTA,Roland Garros,surface_adjusted_elo,all_analysis_metrics,walkover,12
slam-upsets-v1,retirement_inclusive,WTA,Wimbledon,overall_elo,all_analysis_metrics,walkover,8
slam-upsets-v1,retirement_inclusive,WTA,Wimbledon,surface_elo,all_analysis_metrics,walkover,8
slam-upsets-v1,retirement_inclusive,WTA,Wimbledon,surface_elo,upset_and_favorite_calibration,exact_probability_tie,19
slam-upsets-v1,retirement_inclusive,WTA,Wimbledon,surface_adjusted_elo,all_analysis_metrics,walkover,8
slam-upsets-v1,retirement_inclusive,WTA,US Open,overall_elo,all_analysis_metrics,walkover,16
slam-upsets-v1,retirement_inclusive,WTA,US Open,overall_elo,upset_and_favorite_calibration,exact_probability_tie,1
slam-upsets-v1,retirement_inclusive,WTA,US Open,surface_elo,all_analysis_metrics,walkover,16
slam-upsets-v1,retirement_inclusive,WTA,US Open,surface_elo,upset_and_favorite_calibration,exact_probability_tie,1
slam-upsets-v1,retirement_inclusive,WTA,US Open,surface_adjusted_elo,all_analysis_metrics,walkover,16
slam-upsets-v1,retirement_inclusive,WTA,US Open,surface_adjusted_elo,upset_and_favorite_calibration,exact_probability_tie,1
