analysis_version,population,tour,slam,model,dimension,group_value,bin_index,bin_lower,bin_upper,bin_upper_inclusive,calibration_matches,mean_favorite_probability,favorite_win_rate,calibration_error
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,year,1989,1,0.6,0.7,False,23,0.6591073609140209,0.6086956521739131,-0.05041170874010781
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,year,1989,2,0.7,0.8,False,30,0.7572601901271298,0.8,0.042739809872870294
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,year,1989,3,0.8,0.9,False,21,0.8472705430800392,0.9047619047619048,0.05749136168186553
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,year,1989,4,0.9,1.0,True,8,0.9339260475903343,1.0,0.06607395240966574
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,year,1990,0,0.5,0.6,False,32,0.5538017665574724,0.625,0.07119823344252763
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,year,1990,1,0.6,0.7,False,38,0.6472162895913115,0.6842105263157895,0.03699423672447799
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,year,1990,2,0.7,0.8,False,25,0.7452148935646149,0.64,-0.10521489356461489
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,year,1990,3,0.8,0.9,False,15,0.8446497341108873,0.8,-0.04464973411088724
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,year,1990,4,0.9,1.0,True,13,0.9253204107057255,1.0,0.07467958929427454
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,year,1991,0,0.5,0.6,False,45,0.5523839059532866,0.4666666666666667,-0.0857172392866199
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,year,1991,1,0.6,0.7,False,35,0.6444210199085862,0.6571428571428571,0.012721837234270894
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,year,1991,2,0.7,0.8,False,22,0.7383746439026043,0.7727272727272727,0.034352628824668385
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,year,1991,3,0.8,0.9,False,17,0.8275120309675921,0.8823529411764706,0.05484091020887849
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,year,1991,4,0.9,1.0,True,7,0.932942414315919,1.0,0.06705758568408104
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,year,1992,0,0.5,0.6,False,30,0.5432983745583039,0.5333333333333333,-0.00996504122497055
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,year,1992,1,0.6,0.7,False,37,0.6435466051658346,0.5675675675675675,-0.07597903759826707
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,year,1992,2,0.7,0.8,False,30,0.7537861119538171,0.7333333333333333,-0.02045277862048378
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,year,1992,3,0.8,0.9,False,21,0.8439694833593111,0.9047619047619048,0.060792421402593666
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,year,1992,4,0.9,1.0,True,6,0.9134271344019091,1.0,0.08657286559809085
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,year,1993,0,0.5,0.6,False,45,0.540533279292051,0.6,0.059466720707949006
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,year,1993,1,0.6,0.7,False,33,0.6473068612396581,0.8181818181818182,0.17087495694216015
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,year,1993,2,0.7,0.8,False,24,0.7460816875280111,0.7083333333333334,-0.0377483541946777
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,year,1993,3,0.8,0.9,False,18,0.8443032108542137,1.0,0.15569678914578633
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,year,1993,4,0.9,1.0,True,5,0.9161871950952631,0.8,-0.1161871950952631
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,year,1994,0,0.5,0.6,False,40,0.5476000230379493,0.575,0.027399976962050654
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,year,1994,1,0.6,0.7,False,30,0.6508476852438959,0.7,0.04915231475610404
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,year,1994,2,0.7,0.8,False,29,0.7537833347212899,0.7586206896551724,0.004837354933882487
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,year,1994,3,0.8,0.9,False,16,0.8412451074921394,1.0,0.15875489250786057
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,year,1994,4,0.9,1.0,True,4,0.9284775992201842,1.0,0.07152240077981575
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,year,1995,0,0.5,0.6,False,39,0.5438432596392632,0.41025641025641024,-0.13358684938285292
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,year,1995,1,0.6,0.7,False,36,0.6528759351095978,0.7222222222222222,0.06934628711262436
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,year,1995,2,0.7,0.8,False,22,0.752853239986531,0.8181818181818182,0.06532857819528726
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,year,1995,3,0.8,0.9,False,20,0.8524251316577592,0.85,-0.0024251316577592608
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,year,1995,4,0.9,1.0,True,6,0.9398949814252653,1.0,0.060105018574734714
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,year,1996,0,0.5,0.6,False,34,0.5416849753830931,0.6176470588235294,0.07596208344043631
