analysis_version,sample,variant_label,parameter_mode,tour,slam,start_year,end_year,score_matches,upset_matches,calibration_matches,expected_upsets,actual_upsets,excess_upsets,expected_per_100,actual_per_100,excess_per_100,standardized_excess,brier_score,log_loss,score_tournament_editions,upset_tournament_editions,calibration_tournament_editions,expected_per_100_ci_lower,expected_per_100_ci_upper,actual_per_100_ci_lower,actual_per_100_ci_upper,excess_per_100_ci_lower,excess_per_100_ci_upper,standardized_excess_ci_lower,standardized_excess_ci_upper,brier_score_ci_lower,brier_score_ci_upper,log_loss_ci_lower,log_loss_ci_upper,underdog_flips,ties_created,ties_removed,bootstrap_unit,bootstrap_replicates,bootstrap_seed
rating-history-sensitivities-v1,full_primary_1988_2025,retirement_strict_skip,fixed_primary,WTA,US Open,1988,2025,4758,4757,4757,1264.8174559536756,1257,-7.817455953675562,26.588552784395112,26.424216943451754,-0.16433584094335846,-0.270392634910095,0.17506137049673706,0.5215399372668661,38,38,38,26.028380659410686,27.181767041271744,25.205479452054792,27.615982386244497,-1.2689205995566673,0.9038453427183626,-2.08014580654102,1.4867018449569007,0.16944747309324457,0.181012606098801,0.5064775671797471,0.5371053190276894,98,0,0,tour-Slam tournament edition,2000,6099606604953507011
rating-history-sensitivities-v1,full_primary_1988_2025,retirement_strict_skip,fixed_primary,WTA,Wimbledon,1988,2025,4635,4635,4635,1318.979670397716,1295,-23.979670397716063,28.456950817642205,27.939590075512406,-0.5173607421297964,-0.8172583992351082,0.18322833223391627,0.5432390324524493,37,37,37,27.833302703222248,29.088386369010422,26.394232949154365,29.592963447570288,-1.9348045140123473,1.038738037366437,-3.0539164911645753,1.632840894107915,0.1760722176455932,0.1903380674325988,0.5255138027458214,0.5607789776042836,82,0,0,tour-Slam tournament edition,2000,7104521038526435365
rating-history-sensitivities-v1,full_primary_1988_2025,retirement_strict_skip,reselected_policy,ATP,Australian Open,1988,2025,4639,4639,4639,1324.297812433425,1290,-34.29781243342495,28.54705351225318,27.807717180426817,-0.7393363318263624,-1.1679251288827506,0.1780056298236627,0.5287165193878631,38,38,38,27.94121067664744,29.139805736420367,26.45318904499825,29.141158038809724,-1.84295412840239,0.4349642770775655,-2.918288422534138,0.6880036011431822,0.17297239065353623,0.18338042671261295,0.5165522584160843,0.5415619410419146,95,0,0,tour-Slam tournament edition,2000,16716225314624189098
rating-history-sensitivities-v1,full_primary_1988_2025,retirement_strict_skip,reselected_policy,ATP,Roland Garros,1988,2025,4663,4661,4661,1342.6285369467435,1316,-26.628536946743452,28.80558972209276,28.234284488307228,-0.5713052337855278,-0.899988975751841,0.18394750044715413,0.5434837111096708,38,38,38,28.221517222891613,29.328948264550483,26.459765702599384,30.126439988874758,-2.0977638126704323,1.1442894502496457,-3.3015816828240325,1.8041297853778324,0.17643079043371715,0.1914553910934004,0.5252667921794851,0.5617288265421311,92,0,0,tour-Slam tournament edition,2000,1316148299681791868
rating-history-sensitivities-v1,full_primary_1988_2025,retirement_strict_skip,reselected_policy,ATP,US Open,1988,2025,4589,4587,4587,1317.86111637704,1241,-76.86111637703993,28.730349168891212,27.054719860475256,-1.6756293084159568,-2.6263124266218574,0.17982472073464922,0.5335636993793765,38,38,38,28.122697170100537,29.31222053384652,25.793025763515054,28.282987971077585,-2.8068639581911063,-0.5157112076280783,-4.384405090909302,-0.8080144841445015,0.1743491529142689,0.18487290014291774,0.5204424199889923,0.545549612188168,88,0,0,tour-Slam tournament edition,2000,11334336152308429147
rating-history-sensitivities-v1,full_primary_1988_2025,retirement_strict_skip,reselected_policy,ATP,Wimbledon,1988,2025,4562,4562,4562,1383.0644497506569,1310,-73.06444975065688,30.317063782346708,28.715475668566416,-1.601588113780291,-2.449352198579557,0.18742145092375415,0.5536802602698259,37,37,37,29.707710974267815,30.867211200636472,27.45181741698431,29.989134112200144,-2.6904036274729584,-0.5593121214344715,-4.122416476025427,-0.8548483027611702,0.18145154327039267,0.19309506091136164,0.5393616204148042,0.5674392790273816,93,0,0,tour-Slam tournament edition,2000,856761151002086644
rating-history-sensitivities-v1,full_primary_1988_2025,retirement_strict_skip,reselected_policy,WTA,Australian Open,1988,2025,4763,4763,4763,1263.8523428570047,1318,54.147657142995286,26.53479619687182,27.67163552382952,1.1368393269577008,1.8742885188604683,0.18280735845004448,0.5392817347502245,38,38,38,26.055651180987166,27.023068124117252,26.445717851968347,29.0512174643157,-0.12481987819916884,2.451252648442115,-0.20461608877759904,4.046016580114286,0.17721228751251566,0.18922187156810646,0.5254479422800226,0.5553219872744354,81,0,0,tour-Slam tournament edition,2000,12220327424590335320
rating-history-sensitivities-v1,full_primary_1988_2025,retirement_strict_skip,reselected_policy,WTA,Roland Garros,1988,2025,4755,4755,4755,1305.0838775662637,1368,62.91612243373629,27.4465589393536,28.769716088328078,1.3231571489744751,2.148767266127532,0.1860036272866643,0.5493678855695598,38,38,38,26.914224677889003,28.027031276095904,27.123446274388435,30.392564872947943,-0.11294396077578839,2.7632505737881776,-0.18338220317543644,4.492034972329412,0.1782335643703578,0.1931716732883353,0.5297455091968603,0.5674834930350068,96,0,0,tour-Slam tournament edition,2000,5653932544341194306
rating-history-sensitivities-v1,full_primary_1988_2025,retirement_strict_skip,reselected_policy,WTA,US Open,1988,2025,4758,4757,4757,1264.8174559536756,1257,-7.817455953675562,26.588552784395112,26.424216943451754,-0.16433584094335846,-0.270392634910095,0.17506137049673706,0.5215399372668661,38,38,38,26.0238792828159,27.177441952198244,25.21529752932587,27.632811833251704,-1.29021960543403,0.9234239880246048,-2.114196524209788,1.5351503893816123,0.16908296484857616,0.1808773907522901,0.505673296283339,0.5368347250509508,98,0,0,tour-Slam tournament edition,2000,7588031839837036281
rating-history-sensitivities-v1,full_primary_1988_2025,retirement_strict_skip,reselected_policy,WTA,Wimbledon,1988,2025,4635,4635,4635,1318.979670397716,1295,-23.979670397716063,28.456950817642205,27.939590075512406,-0.5173607421297964,-0.8172583992351082,0.18322833223391627,0.5432390324524493,37,37,37,27.880855613399056,29.080427530495356,26.371377434823582,29.57149634588656,-1.984729555503398,0.9823950934711421,-3.1518156109640354,1.5456460801567586,0.17584574188687563,0.19029336416948475,0.5249481451421596,0.5607250724998122,82,0,0,tour-Slam tournament edition,2000,15602664347012182859
rating-history-sensitivities-v1,frozen_market_common,probable_duplicates_current,fixed_primary,ATP,Australian Open,2001,2025,2958,2958,2958,909.5793344147445,777,-132.5793344147445,30.749808465677635,26.267748478701826,-4.482059986975811,-5.481519388060833,0.17326415555500105,0.520903781169904,25,25,25,30.246897188928823,31.29074248146507,24.851559790044572,27.721449760876254,-5.79079290788644,-3.149698635749918,-7.097652716833965,-3.8598513249902746,0.16781660609961113,0.17866217207226234,0.5083395111360998,0.5339650339767129,0,0,0,tour-Slam tournament edition,2000,11690980797389262077
