analysis_version,sample,variant_label,tour,slam,start_year,end_year,score_matches,upset_matches,calibration_matches,expected_upsets,actual_upsets,excess_upsets,expected_per_100,actual_per_100,excess_per_100,standardized_excess,brier_score,log_loss,score_tournament_editions,upset_tournament_editions,calibration_tournament_editions,expected_per_100_ci_lower,expected_per_100_ci_upper,actual_per_100_ci_lower,actual_per_100_ci_upper,excess_per_100_ci_lower,excess_per_100_ci_upper,standardized_excess_ci_lower,standardized_excess_ci_upper,brier_score_ci_lower,brier_score_ci_upper,log_loss_ci_lower,log_loss_ci_upper,underdog_flips_vs_frozen_market,ties_created_vs_frozen_market,ties_removed_vs_frozen_market,bootstrap_unit,bootstrap_replicates,bootstrap_seed
market-probability-sensitivities-v1,balanced_all_variants_common,proportional_primary_hierarchy_mean,WTA,Australian Open,2007,2025,2382,2380,2380,677.4525632439609,650,-27.452563243960867,28.464393413611802,27.3109243697479,-1.1534690438639021,-1.2966366140429988,0.1754059741612016,0.5250311378502452,19,19,19,27.691418236329017,29.28954919014526,25.725094577553595,29.003984132698275,-2.8364294849659797,0.5414558780300044,-3.176816900964508,0.6154476064974719,0.16914065276065585,0.18291468240467065,0.5099964498491412,0.5427508331577272,0,0,0,tour-Slam tournament edition,2000,14479023935495992092
market-probability-sensitivities-v1,balanced_all_variants_common,proportional_primary_hierarchy_mean,WTA,Roland Garros,2007,2025,2368,2365,2365,675.2287155492043,647,-28.228715549204253,28.5508970633913,27.357293868921776,-1.1936031944695245,-1.3350547348451869,0.17679903952756695,0.5276917331069164,19,19,19,27.82159007910712,29.293638796298684,25.420857737034208,29.371942587396028,-2.822153322791526,0.4326354772000118,-3.168773339695698,0.479672071845208,0.1690080299749979,0.18457988633875252,0.5092610171664816,0.5456282107710139,0,0,0,tour-Slam tournament edition,2000,2598811604979615973
market-probability-sensitivities-v1,balanced_all_variants_common,proportional_primary_hierarchy_mean,WTA,US Open,2007,2025,2375,2371,2371,672.6907550350625,613,-59.690755035062466,28.37160502045814,25.85407001265289,-2.51753500780525,-2.824160484554158,0.1751265252393289,0.5255690183043814,19,19,19,27.659802101591783,29.055748226628946,24.479540081155616,27.36860918064716,-3.5524328171579582,-1.28556172699626,-3.979021907504738,-1.441261331088643,0.16885903565492202,0.1810718508070774,0.5101214147544619,0.5400688018610915,0,0,0,tour-Slam tournament edition,2000,1750275825850479183
market-probability-sensitivities-v1,balanced_all_variants_common,proportional_primary_hierarchy_mean,WTA,Wimbledon,2007,2025,2242,2241,2241,645.7023917324303,632,-13.702391732430328,28.813136623490866,28.201695671575187,-0.6114409519156773,-0.6623922036563813,0.18412706034176154,0.5459873969003455,18,18,18,27.83708853865895,29.61832631419337,26.35779672024744,30.10705926927762,-2.3242397928721252,1.130475525138901,-2.500375274082369,1.2300479516362446,0.17643277219192527,0.1915757874903405,0.5279229623721402,0.5635124311845311,0,0,0,tour-Slam tournament edition,2000,14745623251288615454
market-probability-sensitivities-v1,primary_completed_non_retirement,power_primary_hierarchy_mean,ATP,Australian Open,2001,2025,2958,2958,2958,731.669642393774,697,-34.669642393773984,24.735282028187086,23.563218390804597,-1.1720636373824875,-1.5616161164313707,0.15693416994763548,0.47489484584309977,25,25,25,23.961176208972116,25.58224080359571,22.07903693329859,25.127320489713647,-2.226084304754035,-0.15866947817039628,-2.968518840998772,-0.20836406736524088,0.15041354627055098,0.16348817167242005,0.45844354900944007,0.4915221667301899,0,0,0,tour-Slam tournament edition,2000,16439776357304621009
market-probability-sensitivities-v1,primary_completed_non_retirement,power_primary_hierarchy_mean,ATP,Roland Garros,2001,2025,3036,3036,3036,738.9779540127937,694,-44.9779540127937,24.340512319261983,22.859025032938078,-1.4814872863239033,-2.0133291821745765,0.15769135460935774,0.4789482901123985,25,25,25,23.507683096030394,25.29145850110045,21.014319766359826,24.80237354183372,-2.8710763788158995,-0.0948351243734308,-3.912461775323509,-0.12983396776063605,0.14968386366912134,0.16643849675530503,0.45882611830027253,0.5008461149207131,0,0,1,tour-Slam tournament edition,2000,16582296161401601357
market-probability-sensitivities-v1,primary_completed_non_retirement,power_primary_hierarchy_mean,ATP,US Open,2001,2025,2992,2992,2992,741.2785969549344,743,1.7214030450655855,24.775354176301285,24.832887700534762,0.05753352423347546,0.07704331924464633,0.16577561760508647,0.4987059456057993,25,25,25,24.087345190363806,25.492635814923613,23.617437892530134,26.150779511270823,-1.0689025759639583,1.2168236388223355,-1.4407027393761966,1.6286448876439814,0.15894826956839353,0.17302533241356396,0.48145527071002203,0.5167143938907457,1,0,5,tour-Slam tournament edition,2000,15173167003409257276
market-probability-sensitivities-v1,primary_completed_non_retirement,power_primary_hierarchy_mean,ATP,Wimbledon,2001,2025,2933,2933,2933,731.4205163908073,667,-64.42051639080728,24.93762415243121,22.741220593249235,-2.1964035591819733,-2.903663618493704,0.15934353812757923,0.4850712692456334,24,24,24,24.06953084196263,25.859300333935142,21.282951390048193,24.244530530930582,-3.7531505909467757,-0.7401735158847268,-4.951226627599225,-0.975466956812681,0.15312267651794476,0.1662644272648765,0.4692367131702269,0.5033457511085186,0,0,3,tour-Slam tournament edition,2000,78399661522888368
market-probability-sensitivities-v1,primary_completed_non_retirement,power_primary_hierarchy_mean,WTA,Australian Open,2007,2025,2382,2382,2382,632.511959441558,652,19.48804055844198,26.553818616354242,27.371956339210747,0.8181377228565063,0.949675162381782,0.174698174056231,0.5216330744248713,19,19,19,25.680475650061272,27.47972880018026,25.871409612410517,29.119350721211617,-0.7741193109135531,2.569780327591445,-0.8971894575594491,2.9919075952366425,0.16793786088483484,0.18300783746545646,0.5048332734540405,0.5416219740036649,0,0,2,tour-Slam tournament edition,2000,6298728178850770908
market-probability-sensitivities-v1,primary_completed_non_retirement,power_primary_hierarchy_mean,WTA,Roland Garros,2007,2025,2368,2368,2368,632.0302332545142,649,16.9697667454858,26.690465931356172,27.407094594594593,0.7166286632384206,0.8268990346803378,0.17618801885537225,0.5244614161032225,19,19,19,25.861082568034035,27.530385128631785,25.48467533989686,29.35466944551211,-0.8949045358978875,2.4126977700584065,-1.0408732832000422,2.777306512183186,0.16844137277879306,0.1840204951995957,0.5049792146516238,0.5439392982853842,0,0,3,tour-Slam tournament edition,2000,4855209313387525700
