robustness_version,scenario,comparison_value,tour,slam,model,reference_model,matches_delta,expected_per_100_delta,actual_per_100_delta,excess_per_100_delta,brier_score_delta,log_loss_delta
slam-robustness-v1,common_exclude_flagged_overround,14 common-primary flagged match IDs removed from every model; all 14 source flags screened,ATP,Roland Garros,market_odds,market_odds,-2,-0.010507703206926067,0.015056780684300719,0.02556448389122945,-1.593301146032844e-05,-4.770775782719783e-05
slam-robustness-v1,common_exclude_flagged_overround,14 common-primary flagged match IDs removed from every model; all 14 source flags screened,ATP,Roland Garros,overall_elo,overall_elo,-2,-0.001989762145228724,0.01806700838170272,0.020056770526930556,4.6264087007974464e-05,8.759321533091668e-05
slam-robustness-v1,common_exclude_flagged_overround,14 common-primary flagged match IDs removed from every model; all 14 source flags screened,ATP,Roland Garros,surface_adjusted_elo,surface_adjusted_elo,-2,-0.001511671912737711,0.0178278542394672,0.019339526152204023,3.9882607078295385e-05,7.703705763695279e-05
slam-robustness-v1,common_exclude_flagged_overround,14 common-primary flagged match IDs removed from every model; all 14 source flags screened,ATP,US Open,market_odds,market_odds,0,0.0,0.0,0.0,0.0,0.0
slam-robustness-v1,common_exclude_flagged_overround,14 common-primary flagged match IDs removed from every model; all 14 source flags screened,ATP,US Open,overall_elo,overall_elo,0,0.0,0.0,0.0,0.0,0.0
slam-robustness-v1,common_exclude_flagged_overround,14 common-primary flagged match IDs removed from every model; all 14 source flags screened,ATP,US Open,surface_adjusted_elo,surface_adjusted_elo,0,0.0,0.0,0.0,0.0,0.0
slam-robustness-v1,common_exclude_flagged_overround,14 common-primary flagged match IDs removed from every model; all 14 source flags screened,ATP,Wimbledon,market_odds,market_odds,-2,-0.008964927766385244,0.015549525354821014,0.024514453121202706,-2.613425652137069e-06,-1.909888920481606e-05
slam-robustness-v1,common_exclude_flagged_overround,14 common-primary flagged match IDs removed from every model; all 14 source flags screened,ATP,Wimbledon,overall_elo,overall_elo,-2,0.002482922268786325,-0.01501752490484165,-0.017500447173624423,3.5427809270932586e-05,0.00011341335338344027
slam-robustness-v1,common_exclude_flagged_overround,14 common-primary flagged match IDs removed from every model; all 14 source flags screened,ATP,Wimbledon,surface_adjusted_elo,surface_adjusted_elo,-2,0.0031250801211371027,-0.015413029046410287,-0.018538109167544725,3.562739076776178e-05,0.0001071582150912187
slam-robustness-v1,common_exclude_flagged_overround,14 common-primary flagged match IDs removed from every model; all 14 source flags screened,WTA,Australian Open,market_odds,market_odds,-1,-0.008317080895064777,-0.030554466427176408,-0.02223738553211274,-3.8804171423822975e-05,-8.556409680737787e-05
slam-robustness-v1,common_exclude_flagged_overround,14 common-primary flagged match IDs removed from every model; all 14 source flags screened,WTA,Australian Open,overall_elo,overall_elo,-1,0.0032361838032812784,0.012218899198842337,0.008982715395561947,6.342789792740389e-05,0.00014279116814064352
slam-robustness-v1,common_exclude_flagged_overround,14 common-primary flagged match IDs removed from every model; all 14 source flags screened,WTA,Australian Open,surface_adjusted_elo,surface_adjusted_elo,-1,0.0038221796778721284,0.01216600353131625,0.008343823853441235,6.475975383510302e-05,0.00014746490648520627
slam-robustness-v1,common_exclude_flagged_overround,14 common-primary flagged match IDs removed from every model; all 14 source flags screened,WTA,Roland Garros,market_odds,market_odds,0,0.0,0.0,0.0,0.0,0.0
slam-robustness-v1,common_exclude_flagged_overround,14 common-primary flagged match IDs removed from every model; all 14 source flags screened,WTA,Roland Garros,overall_elo,overall_elo,0,0.0,0.0,0.0,0.0,0.0
slam-robustness-v1,common_exclude_flagged_overround,14 common-primary flagged match IDs removed from every model; all 14 source flags screened,WTA,Roland Garros,surface_adjusted_elo,surface_adjusted_elo,0,0.0,0.0,0.0,0.0,0.0
slam-robustness-v1,common_exclude_flagged_overround,14 common-primary flagged match IDs removed from every model; all 14 source flags screened,WTA,US Open,market_odds,market_odds,0,0.0,0.0,0.0,0.0,0.0
slam-robustness-v1,common_exclude_flagged_overround,14 common-primary flagged match IDs removed from every model; all 14 source flags screened,WTA,US Open,overall_elo,overall_elo,0,0.0,0.0,0.0,0.0,0.0
slam-robustness-v1,common_exclude_flagged_overround,14 common-primary flagged match IDs removed from every model; all 14 source flags screened,WTA,US Open,surface_adjusted_elo,surface_adjusted_elo,0,0.0,0.0,0.0,0.0,0.0
slam-robustness-v1,common_exclude_flagged_overround,14 common-primary flagged match IDs removed from every model; all 14 source flags screened,WTA,Wimbledon,market_odds,market_odds,-2,-0.002180602247186414,-0.019471464339815725,-0.01729086209262809,3.9654424345780814e-05,0.00010304682370876339
slam-robustness-v1,common_exclude_flagged_overround,14 common-primary flagged match IDs removed from every model; all 14 source flags screened,WTA,Wimbledon,overall_elo,overall_elo,-2,-0.011084757107660437,0.027916719765517684,0.0390014768731799,2.683078605719702e-05,5.319854145169334e-05
slam-robustness-v1,common_exclude_flagged_overround,14 common-primary flagged match IDs removed from every model; all 14 source flags screened,WTA,Wimbledon,surface_adjusted_elo,surface_adjusted_elo,-2,-0.00885376477176436,-0.01732349942653144,-0.00846973465476697,-5.710421629140372e-06,-1.641581780409407e-05
slam-robustness-v1,common_min_prior_1,both players have at least 1 prior tour matches,ATP,Australian Open,market_odds,market_odds,-24,0.03155295162244087,0.12457983687093233,0.0930268852484919,0.0006038731747424753,0.0014179862240007446
slam-robustness-v1,common_min_prior_1,both players have at least 1 prior tour matches,ATP,Australian Open,overall_elo,overall_elo,-24,-0.02535124720991533,0.07964260381537969,0.10499385102529679,0.0003095675343170179,0.0006284664559352837
slam-robustness-v1,common_min_prior_1,both players have at least 1 prior tour matches,ATP,Australian Open,surface_adjusted_elo,surface_adjusted_elo,-24,-0.0285995895434894,0.07853645654016717,0.10713604608365745,0.0002739064965147364,0.0005402103092309041
slam-robustness-v1,common_min_prior_1,both players have at least 1 prior tour matches,ATP,Roland Garros,market_odds,market_odds,-51,0.03524045037059764,0.05513203863770144,0.01989158826710602,0.00013934381963676135,0.00039336146919305426
slam-robustness-v1,common_min_prior_1,both players have at least 1 prior tour matches,ATP,Roland Garros,overall_elo,overall_elo,-51,-0.0007626019126263373,0.014100385469426158,0.014862987382051163,0.00013213371758868941,0.00036199613176823853
slam-robustness-v1,common_min_prior_1,both players have at least 1 prior tour matches,ATP,Roland Garros,surface_adjusted_elo,surface_adjusted_elo,-51,-0.013570300175295813,0.008148852369956217,0.021719152545255582,7.281371840608952e-05,0.0002146677389962548
slam-robustness-v1,common_min_prior_1,both players have at least 1 prior tour matches,ATP,US Open,market_odds,market_odds,-49,0.1375547915067905,0.20896086353778287,0.07140607203098881,0.000814962667240765,0.0018645992657568833
slam-robustness-v1,common_min_prior_1,both players have at least 1 prior tour matches,ATP,US Open,overall_elo,overall_elo,-49,-0.004897982185386951,0.03394485188490748,0.038842834070293986,0.00028379192385569185,0.0005825870433079361
slam-robustness-v1,common_min_prior_1,both players have at least 1 prior tour matches,ATP,US Open,surface_adjusted_elo,surface_adjusted_elo,-49,-0.008689764315327864,-0.002215276478434447,0.006474487836890752,0.0002534248141765616,0.0005156077668895254
slam-robustness-v1,common_min_prior_1,both players have at least 1 prior tour matches,ATP,Wimbledon,market_odds,market_odds,-33,0.05347717992626855,0.12123875351811364,0.06776157359184154,0.0005595157675869211,0.0013581022964869738
slam-robustness-v1,common_min_prior_1,both players have at least 1 prior tour matches,ATP,Wimbledon,overall_elo,overall_elo,-33,0.009551463206328492,0.11163102390161583,0.10207956069529023,0.0003811444976023204,0.0009008072453847715
slam-robustness-v1,common_min_prior_1,both players have at least 1 prior tour matches,ATP,Wimbledon,surface_adjusted_elo,surface_adjusted_elo,-33,0.0031435197354880984,0.10503544681801458,0.1018919270825247,0.00030744240232633,0.0006993677561555334
slam-robustness-v1,common_min_prior_1,both players have at least 1 prior tour matches,WTA,Australian Open,market_odds,market_odds,-25,0.048810909316383544,0.03514781708861392,-0.01366309222776807,0.0002311444697280507,0.0006322099117567204
slam-robustness-v1,common_min_prior_1,both players have at least 1 prior tour matches,WTA,Australian Open,overall_elo,overall_elo,-25,0.009495527021510242,0.09644886500257854,0.08695333798106697,0.0004010409601574172,0.0009774392143090394
slam-robustness-v1,common_min_prior_1,both players have at least 1 prior tour matches,WTA,Australian Open,surface_adjusted_elo,surface_adjusted_elo,-25,0.007393085285062995,0.05268619440029809,0.04529310911523643,0.0003980105654222965,0.0009595049886086393
slam-robustness-v1,common_min_prior_1,both players have at least 1 prior tour matches,WTA,Roland Garros,market_odds,market_odds,-28,0.12420594478842517,0.10207311140328912,-0.022132833385134942,0.0003951044418552263,0.0010638925473741567
slam-robustness-v1,common_min_prior_1,both players have at least 1 prior tour matches,WTA,Roland Garros,overall_elo,overall_elo,-28,0.017512667887938704,0.14762358512358986,0.1301109172356507,0.000464783007455255,0.0011220075357202264
slam-robustness-v1,common_min_prior_1,both players have at least 1 prior tour matches,WTA,Roland Garros,surface_adjusted_elo,surface_adjusted_elo,-28,0.006873963952049422,0.14560233310233173,0.13872836915028408,0.00039729445013678144,0.0009461766656219117
slam-robustness-v1,common_min_prior_1,both players have at least 1 prior tour matches,WTA,US Open,market_odds,market_odds,-45,0.21012087447365957,0.07026360729551939,-0.1398572671781424,0.0003448516361854448,0.000844994904810048
slam-robustness-v1,common_min_prior_1,both players have at least 1 prior tour matches,WTA,US Open,overall_elo,overall_elo,-45,0.13045909772891662,0.07110910323017805,-0.05934999449873829,7.958682603126377e-05,-1.3271892796540286e-05
slam-robustness-v1,common_min_prior_1,both players have at least 1 prior tour matches,WTA,US Open,surface_adjusted_elo,surface_adjusted_elo,-45,0.11223812587519078,0.03550937429410794,-0.0767287515810875,7.608726022989565e-05,4.615388046191882e-05
slam-robustness-v1,common_min_prior_1,both players have at least 1 prior tour matches,WTA,Wimbledon,market_odds,market_odds,-7,0.025197983057907436,0.04360423889929521,0.01840625584138844,0.00022175851459130258,0.0005548148812805076
slam-robustness-v1,common_min_prior_1,both players have at least 1 prior tour matches,WTA,Wimbledon,overall_elo,overall_elo,-7,0.018162215006498172,0.05318437716404745,0.03502216215755105,0.00018485929741010598,0.0004799037320029065
slam-robustness-v1,common_min_prior_1,both players have at least 1 prior tour matches,WTA,Wimbledon,surface_adjusted_elo,surface_adjusted_elo,-7,0.01601272961532274,0.05108893266039871,0.03507620304507675,0.00017925584969324948,0.0004471592587997897
slam-robustness-v1,common_min_prior_5,both players have at least 5 prior tour matches,ATP,Australian Open,market_odds,market_odds,-182,0.13793371131005827,0.28404385703402113,0.1461101457239593,0.001297641446562886,0.003054270898579514
slam-robustness-v1,common_min_prior_5,both players have at least 5 prior tour matches,ATP,Australian Open,overall_elo,overall_elo,-182,-0.09736507330411825,0.10999331661512812,0.20735838991924682,0.0012705220208921453,0.0029395019757322283
slam-robustness-v1,common_min_prior_5,both players have at least 5 prior tour matches,ATP,Australian Open,surface_adjusted_elo,surface_adjusted_elo,-182,-0.12982569817019396,0.1731737114999028,0.3029994096700994,0.0011691904528469688,0.0026509100000283725
slam-robustness-v1,common_min_prior_5,both players have at least 5 prior tour matches,ATP,Roland Garros,market_odds,market_odds,-189,0.1075989537840698,0.1460126122851122,0.03841365850104461,0.0005518581693700619,0.0014948996024529149
slam-robustness-v1,common_min_prior_5,both players have at least 5 prior tour matches,ATP,Roland Garros,overall_elo,overall_elo,-189,-0.04859868766899922,-0.1328232033210277,-0.08422451565203115,0.00033113403214135584,0.0010209882757290512
slam-robustness-v1,common_min_prior_5,both players have at least 5 prior tour matches,ATP,Roland Garros,surface_adjusted_elo,surface_adjusted_elo,-189,-0.08316623906186038,-0.08638775762063133,-0.0032215185587691764,0.00024559746642904834,0.0007427321115214269
slam-robustness-v1,common_min_prior_5,both players have at least 5 prior tour matches,ATP,US Open,market_odds,market_odds,-154,0.268920762945033,0.5701373796393412,0.30121661669430666,0.002458652117587723,0.00589037369789136
slam-robustness-v1,common_min_prior_5,both players have at least 5 prior tour matches,ATP,US Open,overall_elo,overall_elo,-154,-0.004869728150843855,0.15624745978597687,0.1611171879368225,0.001340966370457719,0.003032946289376892
slam-robustness-v1,common_min_prior_5,both players have at least 5 prior tour matches,ATP,US Open,surface_adjusted_elo,surface_adjusted_elo,-154,-0.025156627790952513,0.07856550624388703,0.10372213403483999,0.0011425276952452545,0.0025606619880218506
slam-robustness-v1,common_min_prior_5,both players have at least 5 prior tour matches,ATP,Wimbledon,market_odds,market_odds,-142,0.11954935354909324,0.047546530474338766,-0.07200282307475803,0.0010641781310747056,0.002664995732679143
slam-robustness-v1,common_min_prior_5,both players have at least 5 prior tour matches,ATP,Wimbledon,overall_elo,overall_elo,-142,-0.03026915151924925,0.20596132202736683,0.2362304735466214,0.0009681398214995696,0.0022994966059733946
slam-robustness-v1,common_min_prior_5,both players have at least 5 prior tour matches,ATP,Wimbledon,surface_adjusted_elo,surface_adjusted_elo,-142,-0.05200503643677479,0.14064250892651842,0.19264754536328965,0.0006770490116429495,0.001538194212205246
slam-robustness-v1,common_min_prior_5,both players have at least 5 prior tour matches,WTA,Australian Open,market_odds,market_odds,-114,0.17466925341291883,0.3148479162185609,0.1401786628056425,0.0013449598808049912,0.003077583628698366
slam-robustness-v1,common_min_prior_5,both players have at least 5 prior tour matches,WTA,Australian Open,overall_elo,overall_elo,-114,0.12053163124008037,0.27188037263603704,0.15134874139595578,0.0013018595482622297,0.002831808937682312
slam-robustness-v1,common_min_prior_5,both players have at least 5 prior tour matches,WTA,Australian Open,surface_adjusted_elo,surface_adjusted_elo,-114,0.087085943877387,0.17736640322702257,0.09028045934963536,0.0012437970108189755,0.002731418939440733
slam-robustness-v1,common_min_prior_5,both players have at least 5 prior tour matches,WTA,Roland Garros,market_odds,market_odds,-121,0.26447516712300967,0.3041760642630784,0.03970089714006875,0.0013778076140797402,0.0034573500035635085
slam-robustness-v1,common_min_prior_5,both players have at least 5 prior tour matches,WTA,Roland Garros,overall_elo,overall_elo,-121,0.12865995067346958,0.20182691035494926,0.07316695968147657,0.0005788220722128257,0.0014571155734093288
slam-robustness-v1,common_min_prior_5,both players have at least 5 prior tour matches,WTA,Roland Garros,surface_adjusted_elo,surface_adjusted_elo,-121,0.08061823943385349,0.19273069798770592,0.11211245855385177,0.0005292134779698865,0.001377900034015167
slam-robustness-v1,common_min_prior_5,both players have at least 5 prior tour matches,WTA,US Open,market_odds,market_odds,-128,0.3457167243789847,0.13790502078447275,-0.2078117035945124,0.0011506940417791434,0.0029701416202546627
slam-robustness-v1,common_min_prior_5,both players have at least 5 prior tour matches,WTA,US Open,overall_elo,overall_elo,-128,0.27297076213620386,0.13358630220410816,-0.13938445993209725,0.0008131904328453066,0.0018318495135348778
slam-robustness-v1,common_min_prior_5,both players have at least 5 prior tour matches,WTA,US Open,surface_adjusted_elo,surface_adjusted_elo,-128,0.23184576712275629,0.11066919635537431,-0.12117657076738275,0.0007993135517581074,0.0018551867814298184
slam-robustness-v1,common_min_prior_5,both players have at least 5 prior tour matches,WTA,Wimbledon,market_odds,market_odds,-84,0.1381800775854174,-0.06075918571519523,-0.1989392633006103,0.0007034475309331822,0.0020897185130827056
slam-robustness-v1,common_min_prior_5,both players have at least 5 prior tour matches,WTA,Wimbledon,overall_elo,overall_elo,-84,0.1865820108845071,0.10491427040764378,-0.08166774047686198,0.0003569637362702549,0.001249303244252875
slam-robustness-v1,common_min_prior_5,both players have at least 5 prior tour matches,WTA,Wimbledon,surface_adjusted_elo,surface_adjusted_elo,-84,0.13960616011218718,0.07887172101567685,-0.060734439096512105,0.0004685444404385619,0.0013607718310501005
slam-robustness-v1,common_min_prior_20,both players have at least 20 prior tour matches,ATP,Australian Open,market_odds,market_odds,-545,0.1900228187861117,-0.06549771115270886,-0.255520529938825,0.000738630409071378,0.0022455247291812697
slam-robustness-v1,common_min_prior_20,both players have at least 20 prior tour matches,ATP,Australian Open,overall_elo,overall_elo,-545,0.06117310845287349,-0.46016520274028494,-0.5213383111931562,-0.0009816371647168587,-0.0015970945162392391
slam-robustness-v1,common_min_prior_20,both players have at least 20 prior tour matches,ATP,Australian Open,surface_adjusted_elo,surface_adjusted_elo,-545,-0.04036210542725627,-0.6564762035256955,-0.6161140980984374,-0.0010490528892702355,-0.0017654242305722434
slam-robustness-v1,common_min_prior_20,both players have at least 20 prior tour matches,ATP,Roland Garros,market_odds,market_odds,-561,0.06789878091995405,-0.27904040572197886,-0.346939186641932,-0.0011282776519090099,-0.0025803522792058886
slam-robustness-v1,common_min_prior_20,both players have at least 20 prior tour matches,ATP,Roland Garros,overall_elo,overall_elo,-561,-0.10509668626147928,-0.5208978379710025,-0.4158011517095259,-0.0015587556278791326,-0.0029776064398223667
slam-robustness-v1,common_min_prior_20,both players have at least 20 prior tour matches,ATP,Roland Garros,surface_adjusted_elo,surface_adjusted_elo,-561,-0.17613536325685075,-0.4815724815724778,-0.30543711831562526,-0.0018468819475289944,-0.0037462204842239055
slam-robustness-v1,common_min_prior_20,both players have at least 20 prior tour matches,ATP,US Open,market_odds,market_odds,-536,0.2770920862404296,0.3891113804190134,0.11201929417857848,0.0021760466390502164,0.005759852187681047
slam-robustness-v1,common_min_prior_20,both players have at least 20 prior tour matches,ATP,US Open,overall_elo,overall_elo,-536,0.0035388788408035055,-0.20827956181247842,-0.2118184406532837,0.0004982538267030434,0.0014544129310125609
slam-robustness-v1,common_min_prior_20,both players have at least 20 prior tour matches,ATP,US Open,surface_adjusted_elo,surface_adjusted_elo,-536,-0.057171419056345485,-0.27812808675756173,-0.22095666770121714,0.0001553276567314854,0.0005902643890889347
