robustness_version,sample,tour,slam,model,dimension,group_value,start_year,end_year,score_matches,expected_per_100,actual_per_100,excess_per_100,expected_per_100_ci_lower,expected_per_100_ci_upper,actual_per_100_ci_lower,actual_per_100_ci_upper,excess_per_100_ci_lower,excess_per_100_ci_upper,brier_score,brier_score_ci_lower,brier_score_ci_upper,log_loss,log_loss_ci_lower,log_loss_ci_upper,bootstrap_replicates,bootstrap_unit
slam-robustness-v1,maximum_available,ATP,US Open,surface_adjusted_elo,era,2000-2009,2000,2009,1218,31.64926738542737,26.272577996715928,-5.3766893887114415,30.77344847031205,32.50696362881766,24.07967320369971,29.04854112134765,-7.4799771568354165,-2.8685680533361917,0.17495202096254797,0.16796491366539423,0.1831354409837488,0.5253591599238179,0.5085412807836235,0.5442325516444935,2000,
slam-robustness-v1,maximum_available,ATP,US Open,surface_adjusted_elo,era,2010-2019,2010,2019,1182,29.815091141108198,25.80372250423012,-4.011368636878079,29.079702312800737,30.678374330593474,22.56966332547728,29.47154506254536,-6.803135648032418,-0.9561670545218476,0.17497495430282964,0.1629141735742437,0.18716845201640323,0.5231581820764432,0.49610235696842137,0.5507979725276504,2000,
slam-robustness-v1,maximum_available,ATP,US Open,surface_adjusted_elo,era,2020-2025,2020,2025,726,32.4050829547103,29.517241379310345,-2.8878415753999573,31.367924929412005,33.4570481850095,27.423822714681442,31.38888888888889,-5.207942886442865,-0.7280125117599416,0.1886757532618983,0.1847191408835143,0.19282551226535266,0.5561645150817837,0.5462854852926078,0.5665367166687928,2000,
slam-robustness-v1,maximum_available,WTA,Australian Open,overall_elo,all,all,1988,2025,4763,26.241187250260843,27.9445727482679,1.7033854980070553,25.762638603495457,26.76853640797998,26.679230302094293,29.262178700449127,0.4871068862816744,3.0394366570742344,0.1827188570499473,0.17721992665455388,0.18847938004287362,0.5390265102464069,0.5255361481399315,0.5536246210397735,2000,
slam-robustness-v1,maximum_available,WTA,Australian Open,overall_elo,era,1988-1999,1988,1999,1509,25.378835242481106,26.37508283631544,0.9962475938343338,24.796437800970978,25.9604814932022,24.100918607530577,28.496265745667472,-1.4469747245621531,3.4964390526921307,0.17427973769935082,0.16529741379011448,0.18239023714860386,0.51675328412049,0.4938867327125819,0.5383362863507871,2000,
slam-robustness-v1,maximum_available,WTA,Australian Open,overall_elo,era,2000-2009,2000,2009,1244,25.469192207166735,27.65273311897106,2.183540911804327,24.743876633136377,26.194281686845965,25.48029618473896,29.86300214837429,-0.4245675915664381,4.8044551377288105,0.17995723198957575,0.1718709570833965,0.18811669304536927,0.5316580631326585,0.5121158012679577,0.5501075263657927,2000,
slam-robustness-v1,maximum_available,WTA,Australian Open,overall_elo,era,2010-2019,2010,2019,1257,26.761145716212692,28.162291169451073,1.4011454532383822,25.882152307048678,27.709273128822183,26.163538314632344,30.514104199526194,-0.12810237737609745,3.364291256957235,0.18883388053785854,0.18033954740575864,0.1985263761038564,0.5557702053905526,0.5349435819416871,0.5787401481689097,2000,
slam-robustness-v1,maximum_available,WTA,Australian Open,overall_elo,era,2020-2025,2020,2025,753,28.376729377281954,31.208499335989373,2.8317699587074183,27.755647004876433,28.97117084979638,28.381962864721487,34.840425531914896,-0.14201635732290854,6.729722579637,0.19398513613473417,0.17746940855245308,0.21677787142233507,0.5678841751034094,0.527469267671667,0.6219376611633101,2000,
slam-robustness-v1,maximum_available,WTA,Australian Open,surface_adjusted_elo,all,all,1988,2025,4763,26.80926607092982,27.692630694940163,0.883364624010344,26.32748107007511,27.261350078664027,26.384466147812123,29.115267790821566,-0.4266558915259096,2.24658529145955,0.18222832044415155,0.17683502095316445,0.1884179113818987,0.5379122319656582,0.524630287361433,0.5529560782702644,2000,
slam-robustness-v1,maximum_available,WTA,Australian Open,surface_adjusted_elo,era,1988-1999,1988,1999,1509,26.26240975849148,26.176275679257788,-0.08613407923369351,25.649582960518508,26.841564344899872,23.641901809217035,28.64711594164735,-2.7565756941041437,2.658572132030313,0.17437894619353814,0.1649276005167561,0.18309650190148413,0.517090294441593,0.49292159940973135,0.5403730418783981,2000,
