robustness_version,scenario,category,comparison_value,preferred_analysis,tour,slam,model,start_year,end_year,score_matches,upset_matches,calibration_matches,expected_upsets,actual_upsets,excess_upsets,expected_per_100,actual_per_100,excess_per_100,standardized_excess,brier_score,log_loss,score_tournament_editions,upset_tournament_editions,calibration_tournament_editions,note
slam-robustness-v1,common_both_players_surface_history,cold_start,both players have at least one prior match on the recorded surface,False,ATP,Roland Garros,overall_elo,2001,2025,2902,2902,2902,867.5242866194046,792,-75.52428661940462,29.894014011695546,27.291523087525846,-2.6024909241696976,-3.1814024367162497,0.17910508568497072,0.5330502134145054,25,25,25,
slam-robustness-v1,common_both_players_surface_history,cold_start,both players have at least one prior match on the recorded surface,False,ATP,Roland Garros,surface_adjusted_elo,2001,2025,2902,2902,2902,900.5710240730588,783,-117.57102407305877,31.032771332634695,26.981392143349417,-4.051379189285278,-4.886298324217224,0.17668096182162563,0.5285317633219572,25,25,25,
slam-robustness-v1,common_both_players_surface_history,cold_start,both players have at least one prior match on the recorded surface,False,ATP,US Open,market_odds,2001,2025,2868,2864,2864,775.9031733441517,721,-54.903173344151696,27.091591248049987,25.174581005586592,-1.917010242463397,-2.4097437174014247,0.16811777787338206,0.5065553374501938,25,25,25,
slam-robustness-v1,common_both_players_surface_history,cold_start,both players have at least one prior match on the recorded surface,False,ATP,US Open,overall_elo,2001,2025,2868,2868,2868,867.2564111185781,778,-89.25641111857806,30.239065938583614,27.12691771269177,-3.112148225891843,-3.7719655416817983,0.1789543742829672,0.5325245314194993,25,25,25,
slam-robustness-v1,common_both_players_surface_history,cold_start,both players have at least one prior match on the recorded surface,False,ATP,US Open,surface_adjusted_elo,2001,2025,2868,2868,2868,887.2002449897927,774,-113.20024498979274,30.934457635627364,26.98744769874477,-3.947009936882592,-4.746288903174417,0.17852858113269493,0.5321698682189595,25,25,25,
slam-robustness-v1,common_both_players_surface_history,cold_start,both players have at least one prior match on the recorded surface,False,ATP,Wimbledon,market_odds,2001,2025,2628,2625,2625,713.9934336609438,603,-110.99343366094377,27.19974985375024,22.971428571428575,-4.228321282321668,-5.082638339490172,0.16176298258562627,0.49263710503726893,24,24,24,
slam-robustness-v1,common_both_players_surface_history,cold_start,both players have at least one prior match on the recorded surface,False,ATP,Wimbledon,overall_elo,2001,2025,2628,2628,2628,784.5799643297304,746,-38.57996432973039,29.854640956230227,28.386605783866056,-1.4680351723641698,-1.709728904100287,0.18507214414171372,0.5483082733233076,24,24,24,
slam-robustness-v1,common_both_players_surface_history,cold_start,both players have at least one prior match on the recorded surface,False,ATP,Wimbledon,surface_adjusted_elo,2001,2025,2628,2628,2628,848.2285744526872,728,-120.22857445268721,32.27658198069586,27.701674277016743,-4.574907703679117,-5.1785047408927865,0.18375854895844163,0.546526692970126,24,24,24,
slam-robustness-v1,common_both_players_surface_history,cold_start,both players have at least one prior match on the recorded surface,False,WTA,Australian Open,market_odds,2007,2025,2340,2338,2338,666.584769506541,638,-28.584769506540965,28.510896899338793,27.288280581693755,-1.222616317645037,-1.3613748976251165,0.17528446066993053,0.5247405289665692,19,19,19,
slam-robustness-v1,common_both_players_surface_history,cold_start,both players have at least one prior match on the recorded surface,False,WTA,Australian Open,overall_elo,2007,2025,2340,2340,2340,631.4740793073893,682,50.525920692610725,26.986071765273046,29.145299145299145,2.1592273800260995,2.4652446180333123,0.18834146847808184,0.5543273734570147,19,19,19,
slam-robustness-v1,common_both_players_surface_history,cold_start,both players have at least one prior match on the recorded surface,False,WTA,Australian Open,surface_adjusted_elo,2007,2025,2340,2340,2340,639.2796853189426,678,38.7203146810574,27.319644671749685,28.974358974358974,1.6547143026092908,1.8808671468198004,0.187516356573867,0.5523955946284943,19,19,19,
slam-robustness-v1,common_both_players_surface_history,cold_start,both players have at least one prior match on the recorded surface,False,WTA,Roland Garros,market_odds,2007,2025,2291,2289,2289,657.3614012190437,632,-25.361401219043728,28.718278777590378,27.61031017911752,-1.1079685984728584,-1.2165415131251902,0.17813207034623088,0.5309409035043964,19,19,19,
slam-robustness-v1,common_both_players_surface_history,cold_start,both players have at least one prior match on the recorded surface,False,WTA,Roland Garros,overall_elo,2007,2025,2291,2291,2291,626.9532649446083,702,75.04673505539165,27.365921647516736,30.6416412047141,3.275719557197366,3.67776266962638,0.19517918822216843,0.5715211341833134,19,19,19,
slam-robustness-v1,common_both_players_surface_history,cold_start,both players have at least one prior match on the recorded surface,False,WTA,Roland Garros,surface_adjusted_elo,2007,2025,2291,2291,2291,655.6181616034509,697,41.38183839654914,28.617117485964684,30.423395896988218,1.8062784110235333,1.9941094719178623,0.19361240511520084,0.567521169209357,19,19,19,
