analysis_version,sample,variant_label,parameter_mode,difference_direction,tour,slam,score_matches,paired_upset_matches,paired_upset_exclusions_due_to_either_tie,primary_exact_ties,variant_exact_ties,ties_created,ties_removed,editions,bootstrap_unit,bootstrap_replicates,expected_per_100,expected_per_100_ci_lower,expected_per_100_ci_upper,actual_per_100,actual_per_100_ci_lower,actual_per_100_ci_upper,excess_per_100,excess_per_100_ci_lower,excess_per_100_ci_upper,brier_score,brier_score_ci_lower,brier_score_ci_upper,log_loss,log_loss_ci_lower,log_loss_ci_upper
rating-history-sensitivities-v1,full_primary_1988_2025,retirement_full_update,fixed_primary,model_a minus model_b,ATP,Roland Garros,4663,4661,2,2,2,0,0,38,tour-Slam edition,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rating-history-sensitivities-v1,full_primary_1988_2025,retirement_full_update,fixed_primary,model_a minus model_b,ATP,Wimbledon,4562,4562,0,0,0,0,0,37,tour-Slam edition,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rating-history-sensitivities-v1,full_primary_1988_2025,retirement_full_update,fixed_primary,model_a minus model_b,ATP,US Open,4589,4587,2,2,2,0,0,38,tour-Slam edition,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rating-history-sensitivities-v1,full_primary_1988_2025,retirement_full_update,fixed_primary,model_a minus model_b,WTA,Australian Open,4763,4763,0,0,0,0,0,38,tour-Slam edition,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rating-history-sensitivities-v1,full_primary_1988_2025,retirement_full_update,fixed_primary,model_a minus model_b,WTA,Roland Garros,4755,4755,0,0,0,0,0,38,tour-Slam edition,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rating-history-sensitivities-v1,full_primary_1988_2025,retirement_full_update,fixed_primary,model_a minus model_b,WTA,Wimbledon,4635,4635,0,0,0,0,0,37,tour-Slam edition,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rating-history-sensitivities-v1,full_primary_1988_2025,retirement_full_update,fixed_primary,model_a minus model_b,WTA,US Open,4758,4757,1,1,1,0,0,38,tour-Slam edition,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rating-history-sensitivities-v1,full_primary_1988_2025,retirement_half_result_delta,fixed_primary,model_a minus model_b,ATP,Australian Open,4639,4639,0,0,0,0,0,38,tour-Slam edition,2000,-0.05735730594886822,-0.0846691688691142,-0.03124375047996199,0.1940073291657685,-0.04346031067302659,0.45259108600615605,0.2513646351146367,0.006252919780616654,0.5075803433459561,4.447291698303054e-05,-0.00012697989162959388,0.0002074424582566288,3.05184874003173e-05,-0.00034015151960675163,0.0003987859621994567
rating-history-sensitivities-v1,full_primary_1988_2025,retirement_half_result_delta,fixed_primary,model_a minus model_b,ATP,Roland Garros,4663,4661,2,2,2,0,0,38,tour-Slam edition,2000,-0.05454859667348326,-0.07547486602188001,-0.03386948121463086,-0.0858184938854323,-0.42909477142538804,0.2363558229480017,-0.031269897211949046,-0.37200757196888024,0.29961008491202007,8.015989150756385e-05,-0.00010985197314061197,0.00026780104977661455,0.0001517577046077563,-0.000269954512788575,0.0005692615584450578
rating-history-sensitivities-v1,full_primary_1988_2025,retirement_half_result_delta,fixed_primary,model_a minus model_b,ATP,Wimbledon,4562,4562,0,0,0,0,0,37,tour-Slam edition,2000,-0.051675399894381364,-0.07888489222489786,-0.025278260574269136,0.10960105217010083,-0.17532709789783707,0.39430881136163803,0.16127645206448218,-0.11343599897950676,0.4357312566265943,-0.00013196221014864063,-0.00031810052077014194,5.5870082403054776e-05,-0.00033892713982413804,-0.0007664423791290031,7.932650075361813e-05
rating-history-sensitivities-v1,full_primary_1988_2025,retirement_half_result_delta,fixed_primary,model_a minus model_b,ATP,US Open,4589,4587,2,2,2,0,0,38,tour-Slam edition,2000,-0.07509317218217457,-0.09872457496173151,-0.049364375232576106,-0.17440592980161326,-0.3925031909088211,0.043310670591075746,-0.0993127576194387,-0.3204601785654938,0.11132572320526847,8.560969768844765e-05,-8.819719654187041e-05,0.0002482051782617263,0.00013772591367071176,-0.000246339063425043,0.0004979671434879538
rating-history-sensitivities-v1,full_primary_1988_2025,retirement_half_result_delta,fixed_primary,model_a minus model_b,WTA,Australian Open,4763,4763,0,0,0,0,0,38,tour-Slam edition,2000,-0.12546969589506704,-0.1626311081232406,-0.09224561712312714,0.1259710266638673,-0.10493234498331752,0.35880292745912673,0.25144072255893435,0.026095066157403413,0.4940894980172727,0.0002140124022946358,-5.4995534532950005e-05,0.0004847121931117658,0.00048604524737054354,-0.00019729119039472556,0.0011653325562009469
rating-history-sensitivities-v1,full_primary_1988_2025,retirement_half_result_delta,fixed_primary,model_a minus model_b,WTA,Roland Garros,4755,4755,0,0,0,0,0,38,tour-Slam edition,2000,-0.07804909374741839,-0.10862269410115113,-0.04905773112891394,-0.02103049421661409,-0.3566259055571403,0.2751334636441161,0.0570185995308043,-0.2791921175782129,0.3784295105650721,0.00028014200777359144,5.651392919398905e-05,0.0005242595091050476,0.0006761983759998273,0.0001269767895710494,0.0012676371598253765
rating-history-sensitivities-v1,full_primary_1988_2025,retirement_half_result_delta,fixed_primary,model_a minus model_b,WTA,Wimbledon,4635,4635,0,0,0,0,0,37,tour-Slam edition,2000,-0.08485578063629311,-0.1130884629776242,-0.057365590702296944,0.0,-0.23686604713494405,0.21630975556997623,0.08485578063629311,-0.16292780665268514,0.3187604910454474,5.4973062349194896e-05,-0.00016530160287570213,0.0002502599620085463,0.00012011791328540191,-0.0003942643491450931,0.0005893390350714799
rating-history-sensitivities-v1,full_primary_1988_2025,retirement_half_result_delta,fixed_primary,model_a minus model_b,WTA,US Open,4758,4757,1,1,1,0,0,38,tour-Slam edition,2000,-0.09380355113801898,-0.13195607239801968,-0.05858006622730881,0.1471515661130965,-0.10501995379122032,0.37918885225801,0.24095511725111546,-0.023820992101837343,0.4997533109105725,0.0001869791458270509,-6.144301419159822e-05,0.00041181386032859886,0.0003784169856829687,-0.0001667154123928461,0.0009168773806208158
rating-history-sensitivities-v1,full_primary_1988_2025,retirement_no_result_delta,fixed_primary,model_a minus model_b,ATP,Australian Open,4639,4639,0,0,0,0,0,38,tour-Slam edition,2000,-0.13975034799585379,-0.18987804654641932,-0.0857819031405916,0.02155636990730761,-0.36849020785807735,0.45038289829314077,0.1613067179031614,-0.24053735151223524,0.5839983082044661,0.000221108397969088,-0.00011432925847424665,0.0005719096812077416,0.00033446669031724586,-0.0004027198715816363,0.0011299308726633764
rating-history-sensitivities-v1,full_primary_1988_2025,retirement_no_result_delta,fixed_primary,model_a minus model_b,ATP,Roland Garros,4663,4661,2,2,2,0,0,38,tour-Slam edition,2000,-0.12762075498371342,-0.16997980956317085,-0.08634042741817699,-0.10727311735679038,-0.47373464614178823,0.27909423469733646,0.020347637626923043,-0.36155367200548344,0.41765802546715114,0.00027916015031769485,-0.00012352942026773925,0.0006589513312472311,0.000557123732100802,-0.00036241624619855455,0.0014065088282153484
rating-history-sensitivities-v1,full_primary_1988_2025,retirement_no_result_delta,fixed_primary,model_a minus model_b,ATP,Wimbledon,4562,4562,0,0,0,0,0,37,tour-Slam edition,2000,-0.12531056904202745,-0.1804059861164865,-0.07333644336861786,-0.17536168347216133,-0.5915993011670281,0.2393476823622386,-0.05005111443013389,-0.4449562729384794,0.3326102813001622,-0.0001691911697272209,-0.000556056524581143,0.00023833873506874277,-0.0004819831018272578,-0.0013287214388100139,0.00044340439970334193
rating-history-sensitivities-v1,full_primary_1988_2025,retirement_no_result_delta,fixed_primary,model_a minus model_b,ATP,US Open,4589,4587,2,2,2,0,0,38,tour-Slam edition,2000,-0.17143396779886746,-0.21632823406933593,-0.1239992447041735,-0.1962066710268149,-0.6115273920463911,0.240333408262046,-0.02477270322794745,-0.46267088841728904,0.43673554448610036,0.0002837287755584003,-5.961551910952963e-05,0.00060463096524623,0.0005166370624438588,-0.0002092945686270479,0.00122862076461842
rating-history-sensitivities-v1,full_primary_1988_2025,retirement_no_result_delta,fixed_primary,model_a minus model_b,WTA,Australian Open,4763,4763,0,0,0,0,0,38,tour-Slam edition,2000,-0.2744698740580061,-0.3427289107658653,-0.21207891055752337,-0.020995171110644553,-0.357520281775002,0.3352891869237217,0.2534747029473616,-0.10175985912239074,0.6197482904515249,0.0005790380058928551,1.3945860670623437e-05,0.0011253737267783923,0.0013695027845665958,-3.9770921643015616e-05,0.002721104553639381
rating-history-sensitivities-v1,full_primary_1988_2025,retirement_no_result_delta,fixed_primary,model_a minus model_b,WTA,Roland Garros,4755,4755,0,0,0,0,0,38,tour-Slam edition,2000,-0.18914207548558465,-0.24849911762344093,-0.13230034085973502,-0.08412197686645637,-0.48309686299947313,0.3357958592418396,0.10502009861912828,-0.3171705224324213,0.5430304095438023,0.00070954996961336,0.0002471775710199466,0.001211806892390331,0.001739138256662131,0.0006028082513523912,0.0029453038582766024
rating-history-sensitivities-v1,full_primary_1988_2025,retirement_no_result_delta,fixed_primary,model_a minus model_b,WTA,Wimbledon,4635,4635,0,0,0,0,0,37,tour-Slam edition,2000,-0.19181568798547355,-0.2500270161640731,-0.13791114217034772,-0.1725997842502697,-0.49687025801974066,0.15095967220185463,0.019215903735203852,-0.323532015930345,0.35295160748454957,0.00022621631495577788,-0.00020627758182322392,0.0006373242028820515,0.0005300163239768377,-0.0005421501151758691,0.0015140260921459553
rating-history-sensitivities-v1,full_primary_1988_2025,retirement_no_result_delta,fixed_primary,model_a minus model_b,WTA,US Open,4758,4757,1,1,1,0,0,38,tour-Slam edition,2000,-0.21685697050968733,-0.2883181714038134,-0.14705435910179762,0.1681732184149674,-0.2737504976246539,0.6507205183352252,0.38503018892465474,-0.07879431943152,0.8781694870030575,0.0005299573235224184,5.705003972229135e-05,0.000979179218558099,0.0011414967510238528,8.437649858769128e-06,0.0021726406239262553
rating-history-sensitivities-v1,full_primary_1988_2025,retirement_no_result_delta,reselected_policy,model_a minus model_b,ATP,Australian Open,4639,4639,0,0,0,0,0,38,tour-Slam edition,2000,-0.13975034799585379,-0.1917827767149596,-0.08762187162580279,0.02155636990730761,-0.38811298401598093,0.4516299250345646,0.1613067179031614,-0.24103467149301294,0.5903531566560284,0.000221108397969088,-0.00012139946576574918,0.0005620427114141096,0.00033446669031724586,-0.0004238185649573344,0.0011126436258938974
rating-history-sensitivities-v1,full_primary_1988_2025,retirement_no_result_delta,reselected_policy,model_a minus model_b,ATP,Roland Garros,4663,4661,2,2,2,0,0,38,tour-Slam edition,2000,-0.12762075498371342,-0.16917088301915278,-0.08628117466505048,-0.10727311735679038,-0.49357548531045575,0.2996703840550764,0.020347637626923043,-0.37083351355593264,0.42304867894699705,0.00027916015031769485,-0.00011012646185549583,0.0006770102151220663,0.000557123732100802,-0.00031055603424497103,0.0014455759919155657
rating-history-sensitivities-v1,full_primary_1988_2025,retirement_no_result_delta,reselected_policy,model_a minus model_b,ATP,Wimbledon,4562,4562,0,0,0,0,0,37,tour-Slam edition,2000,-0.12531056904202745,-0.17657640475125644,-0.07323803249968062,-0.17536168347216133,-0.5486095497418997,0.19850241054058165,-0.05005111443013389,-0.4165084836770177,0.30766688292833977,-0.0001691911697272209,-0.0005516557010484584,0.0002313334580467522,-0.0004819831018272578,-0.0013380537035615752,0.00040172869863245615
rating-history-sensitivities-v1,full_primary_1988_2025,retirement_no_result_delta,reselected_policy,model_a minus model_b,ATP,US Open,4589,4587,2,2,2,0,0,38,tour-Slam edition,2000,-0.17143396779886746,-0.217667225949036,-0.12340621622397589,-0.1962066710268149,-0.6119014952676369,0.21872624999353737,-0.02477270322794745,-0.453002416627966,0.40693809000876147,0.0002837287755584003,-4.878629344786901e-05,0.0006297584118620677,0.0005166370624438588,-0.0002163806205571008,0.0012551834690314651
rating-history-sensitivities-v1,full_primary_1988_2025,retirement_no_result_delta,reselected_policy,model_a minus model_b,WTA,Australian Open,4763,4763,0,0,0,0,0,38,tour-Slam edition,2000,3.6074148333470006,3.46130547346272,3.763579200580939,0.10497585555322277,-0.41877583556280035,0.6306628375090849,-3.5024389777937777,-4.029797034155386,-2.9675993144885195,0.0007115611264807344,-0.0004179455545617255,0.0018742225216575844,0.0032846511164960493,6.956582830672685e-05,0.006530440447498301
rating-history-sensitivities-v1,full_primary_1988_2025,retirement_no_result_delta,reselected_policy,model_a minus model_b,WTA,Roland Garros,4755,4755,0,0,0,0,0,38,tour-Slam edition,2000,3.5781355785890785,3.414885870561742,3.737620555044199,-0.3154574132492114,-0.9031810916946671,0.23133908751022314,-3.89359299183829,-4.492487763463339,-3.303437174953521,-0.0004942250533578101,-0.0021306343722370356,0.001060158005473588,-0.0006922785376404849,-0.005707486105506875,0.0039776381197216696
rating-history-sensitivities-v1,full_primary_1988_2025,retirement_no_result_delta,reselected_policy,model_a minus model_b,WTA,Wimbledon,4635,4635,0,0,0,0,0,37,tour-Slam edition,2000,3.466760313671641,3.2868546140504398,3.638052393457108,0.30204962243797195,-0.23712262580666127,0.8620689655172414,-3.164710691233669,-3.72295617948052,-2.564064260249537,0.0024329537116327756,0.001229446585378709,0.003643781700520389,0.0071687936760057355,0.0036833159342268087,0.010670540403928501
rating-history-sensitivities-v1,full_primary_1988_2025,retirement_no_result_delta,reselected_policy,model_a minus model_b,WTA,US Open,4758,4757,1,1,1,0,0,38,tour-Slam edition,2000,3.4836687903555514,3.3383688968619065,3.6239736284678874,0.37838974143367665,-0.21004542797530182,0.945194482916445,-3.1052790489218745,-3.688997370430174,-2.5277412167262923,0.0017459789303871777,0.000622196919220868,0.0029538723434166933,0.0059570210378756625,0.002523078972415263,0.00961740621783919
rating-history-sensitivities-v1,full_primary_1988_2025,retirement_strict_skip,fixed_primary,model_a minus model_b,ATP,Australian Open,4639,4639,0,0,0,0,0,38,tour-Slam edition,2000,-0.1397503479958587,-0.1912924893168056,-0.0877088176553573,0.02155636990730761,-0.39030790521322184,0.43206576483506814,0.1613067179031663,-0.26436232637430906,0.5791226200940685,0.0002211083979691125,-0.00013440352654151978,0.0005622427401655372,0.0003344666903173439,-0.0004289446117882569,0.0010802814219136316
rating-history-sensitivities-v1,full_primary_1988_2025,retirement_strict_skip,fixed_primary,model_a minus model_b,ATP,Roland Garros,4663,4661,2,2,2,0,0,38,tour-Slam edition,2000,-0.1276207549837232,-0.17294445402902375,-0.0853013954789286,-0.10727311735679038,-0.47425293036845945,0.2793971547976931,0.0203476376269328,-0.35802974365545165,0.40822349343293673,0.0002791601503176217,-0.00012676170186492347,0.0006451126384240248,0.0005571237321010947,-0.0003579520589467731,0.0014217432955580093
rating-history-sensitivities-v1,full_primary_1988_2025,retirement_strict_skip,fixed_primary,model_a minus model_b,ATP,Wimbledon,4562,4562,0,0,0,0,0,37,tour-Slam edition,2000,-0.1253105690420374,-0.17781824848208266,-0.07450358761178132,-0.17536168347216133,-0.5715541877335678,0.19819532172365922,-0.050051114430123916,-0.42798128937629426,0.3165880349715643,-0.0001691911697272209,-0.000543976379017326,0.00021022161775916518,-0.0004819831018271581,-0.0013078481604785958,0.00035687255525155236
rating-history-sensitivities-v1,full_primary_1988_2025,retirement_strict_skip,fixed_primary,model_a minus model_b,ATP,US Open,4589,4587,2,2,2,0,0,38,tour-Slam edition,2000,-0.17143396779886746,-0.21771409022817587,-0.12479592662181936,-0.1962066710268149,-0.610557188655816,0.1951103367640613,-0.02477270322794745,-0.4368204431476034,0.36801964496102524,0.0002837287755583755,-6.222665314234661e-05,0.0006074995022729765,0.000516637062444057,-0.0002204796693268755,0.0012475414522975306
