tour,slam,dimension,group_value,completed_non_retirement_matches,both_ranked_non_ties,lower_ranked_winner,both_seeded_non_ties,lower_seeded_winner,seed_order_non_ties,lower_seed_order_winner,lower_ranked_winner_per_100,lower_seeded_winner_per_100,lower_seed_order_winner_per_100,interpretation,robustness_version
ATP,Wimbledon,era,1988-1999,1501,1483,478,71,27,607,128,32.23196223870533,38.028169014084504,21.087314662273474,descriptive official rank/seed ordering only; unseeded is ordered below seeded; not a calibrated pre-match probability model,slam-robustness-v1
ATP,Wimbledon,era,2000-2009,1224,1217,383,128,40,769,194,31.470829909613805,31.25,25.227568270481143,descriptive official rank/seed ordering only; unseeded is ordered below seeded; not a calibrated pre-match probability model,slam-robustness-v1
ATP,Wimbledon,era,2010-2019,1223,1223,344,161,43,825,176,28.12755519215045,26.70807453416149,21.333333333333332,descriptive official rank/seed ordering only; unseeded is ordered below seeded; not a calibrated pre-match probability model,slam-robustness-v1
ATP,Wimbledon,era,2020-2025,614,614,188,60,12,388,95,30.618892508143322,20.0,24.484536082474225,descriptive official rank/seed ordering only; unseeded is ordered below seeded; not a calibrated pre-match probability model,slam-robustness-v1
ATP,Wimbledon,round,F,37,37,9,32,9,37,10,24.324324324324323,28.125,27.027027027027028,descriptive official rank/seed ordering only; unseeded is ordered below seeded; not a calibrated pre-match probability model,slam-robustness-v1
ATP,Wimbledon,round,QF,145,144,35,88,24,137,32,24.305555555555557,27.272727272727273,23.357664233576642,descriptive official rank/seed ordering only; unseeded is ordered below seeded; not a calibrated pre-match probability model,slam-robustness-v1
ATP,Wimbledon,round,R128,2295,2283,741,0,0,934,202,32.45729303547963,,21.62740899357602,descriptive official rank/seed ordering only; unseeded is ordered below seeded; not a calibrated pre-match probability model,slam-robustness-v1
ATP,Wimbledon,round,R16,287,286,74,121,29,243,49,25.874125874125873,23.96694214876033,20.16460905349794,descriptive official rank/seed ordering only; unseeded is ordered below seeded; not a calibrated pre-match probability model,slam-robustness-v1
ATP,Wimbledon,round,R32,577,573,168,121,43,442,113,29.319371727748692,35.53719008264463,25.56561085972851,descriptive official rank/seed ordering only; unseeded is ordered below seeded; not a calibrated pre-match probability model,slam-robustness-v1
ATP,Wimbledon,round,R64,1149,1142,347,0,0,725,167,30.385288966725042,,23.03448275862069,descriptive official rank/seed ordering only; unseeded is ordered below seeded; not a calibrated pre-match probability model,slam-robustness-v1
ATP,Wimbledon,round,SF,72,72,19,58,17,71,20,26.38888888888889,29.310344827586206,28.169014084507044,descriptive official rank/seed ordering only; unseeded is ordered below seeded; not a calibrated pre-match probability model,slam-robustness-v1
ATP,Wimbledon,seed_field_regime,observed_max_seed_1_16,1373,1355,436,68,26,559,116,32.17712177121771,38.23529411764706,20.75134168157424,descriptive official rank/seed ordering only; unseeded is ordered below seeded; not a calibrated pre-match probability model,slam-robustness-v1
ATP,Wimbledon,seed_field_regime,observed_max_seed_above_16,3189,3182,957,352,96,2030,477,30.075424261470772,27.272727272727273,23.497536945812808,descriptive official rank/seed ordering only; unseeded is ordered below seeded; not a calibrated pre-match probability model,slam-robustness-v1
WTA,Australian Open,all,all,4763,4719,1360,462,139,2791,608,28.81966518330155,30.086580086580085,21.78430670010749,descriptive official rank/seed ordering only; unseeded is ordered below seeded; not a calibrated pre-match probability model,slam-robustness-v1
WTA,Australian Open,era,1988-1999,1509,1473,385,98,22,669,99,26.13713509843856,22.448979591836736,14.798206278026905,descriptive official rank/seed ordering only; unseeded is ordered below seeded; not a calibrated pre-match probability model,slam-robustness-v1
WTA,Australian Open,era,2000-2009,1244,1244,370,149,39,788,161,29.742765273311896,26.174496644295303,20.431472081218274,descriptive official rank/seed ordering only; unseeded is ordered below seeded; not a calibrated pre-match probability model,slam-robustness-v1
