analysis_version,sample,variant_label,bootstrap_seed,tour,contrast,start_year,end_year,calendar_years,bootstrap_unit,bootstrap_replicates,expected_per_100,expected_per_100_ci_lower,expected_per_100_ci_upper,actual_per_100,actual_per_100_ci_lower,actual_per_100_ci_upper,excess_per_100,excess_per_100_ci_lower,excess_per_100_ci_upper,brier_score,brier_score_ci_lower,brier_score_ci_upper,log_loss,log_loss_ci_lower,log_loss_ci_upper
market-probability-sensitivities-v1,primary_completed_non_retirement,additive_primary_hierarchy_mean,1017047138677675359,ATP,"Wimbledon minus equal-weight mean of Australian Open, Roland Garros, and US Open",2001,2025,25,calendar year jointly across all four Slams,2000,0.31250776380696266,-0.1710983635345629,0.7938835215414562,-0.97027003440855,-2.336041275042876,0.3462275974542268,-1.282777798215515,-2.873930813997055,0.23186131128219178,-0.0006736288738805607,-0.005579443998180357,0.0047533841315116855,0.000492584874641655,-0.012607705369511788,0.014651765791597044
market-probability-sensitivities-v1,primary_completed_non_retirement,additive_primary_hierarchy_mean,1433978768472846534,WTA,"Wimbledon minus equal-weight mean of Australian Open, Roland Garros, and US Open",2007,2025,19,calendar year jointly across all four Slams,2000,0.36504781249903573,-0.4250087058411816,1.1024419971843897,1.360932921134335,-0.7609002760595286,3.2130160555128873,0.9958851086352976,-1.101871836104804,2.9189545646834847,0.00868800953138854,0.0007005392084860798,0.016731248514135006,0.02112490334740269,0.0024534276749469315,0.040044933501687884
market-probability-sensitivities-v1,balanced_variant_common,additive_primary_hierarchy_mean,10857738605508340686,ATP,"Wimbledon minus equal-weight mean of Australian Open, Roland Garros, and US Open",2001,2025,25,calendar year jointly across all four Slams,2000,0.31250776380696266,-0.17440240450311675,0.8166209340106317,-0.97027003440855,-2.358991775942395,0.32256801457448414,-1.282777798215515,-2.8870509868608405,0.20515051169593596,-0.0006736288738805607,-0.005650132165095722,0.0049123612273279885,0.000492584874641655,-0.012525401053838427,0.014536799416731907
market-probability-sensitivities-v1,balanced_variant_common,additive_primary_hierarchy_mean,6540921053284423742,WTA,"Wimbledon minus equal-weight mean of Australian Open, Roland Garros, and US Open",2007,2025,19,calendar year jointly across all four Slams,2000,0.36504781249903573,-0.4517525131530061,1.1322900120439943,1.360932921134335,-0.813319686432289,3.2661631683144936,0.9958851086352976,-1.1083484446089795,2.878277779386404,0.00868800953138854,0.0005303722921026267,0.016457294862501373,0.02112490334740269,0.001816204690208015,0.039924510117646764
market-probability-sensitivities-v1,balanced_all_variants_common,additive_primary_hierarchy_mean,8680732714292891486,ATP,"Wimbledon minus equal-weight mean of Australian Open, Roland Garros, and US Open",2001,2025,25,calendar year jointly across all four Slams,2000,0.306628060632157,-0.18497774068019612,0.7795805312373326,-0.962769625379007,-2.3473856615424267,0.3237068089481608,-1.2693976860111629,-2.856678244448576,0.22736725085284248,-0.0006697065557743076,-0.0057489876596927185,0.004457521486166973,0.0004771970186054353,-0.01299088222055632,0.013679884696130405
market-probability-sensitivities-v1,balanced_all_variants_common,additive_primary_hierarchy_mean,15057370079762017314,WTA,"Wimbledon minus equal-weight mean of Australian Open, Roland Garros, and US Open",2007,2025,19,calendar year jointly across all four Slams,2000,0.36504781249903573,-0.3993961636812334,1.074423099987277,1.360932921134335,-0.6654230134198762,3.1801586708691194,0.9958851086352976,-1.098400804297997,2.8267466773534484,0.00868800953138854,0.0009239263550425307,0.016370429888407718,0.02112490334740269,0.003305457691615607,0.03955459922941339
market-probability-sensitivities-v1,primary_completed_non_retirement,proportional_primary_hierarchy_median,18306914977736704039,ATP,"Wimbledon minus equal-weight mean of Australian Open, Roland Garros, and US Open",2001,2025,25,calendar year jointly across all four Slams,2000,0.2892187838598055,-0.1701924509944007,0.7652513887709709,-0.8096507332278513,-2.1327529979282134,0.4429208757268665,-1.0988695170876612,-2.577720458468877,0.35866210630042156,-0.0005225213713228039,-0.0052259669271794975,0.004652692612348129,0.0005072401672583937,-0.011392154663969437,0.013190632078916867
market-probability-sensitivities-v1,primary_completed_non_retirement,proportional_primary_hierarchy_median,10847954226792091363,WTA,"Wimbledon minus equal-weight mean of Australian Open, Roland Garros, and US Open",2007,2025,19,calendar year jointly across all four Slams,2000,0.3262155727180591,-0.43152205121105425,1.036927775772587,1.320702211796327,-0.8228446050136903,3.2125296795901273,0.9944866390782625,-1.1276020255290273,2.867267966161324,0.008280914392436084,0.0005706120900648628,0.015827580672669872,0.01977113612151027,0.001915749468333808,0.037381955099795666
market-probability-sensitivities-v1,balanced_variant_common,proportional_primary_hierarchy_median,6970758721250699309,ATP,"Wimbledon minus equal-weight mean of Australian Open, Roland Garros, and US Open",2001,2025,25,calendar year jointly across all four Slams,2000,0.2892187838598055,-0.1834245221632246,0.7865640597183343,-0.8096507332278513,-2.2053387225460037,0.39552296391379405,-1.0988695170876612,-2.7112977141239285,0.30453624993892037,-0.0005225213713228039,-0.005494269850388764,0.0044909983125601734,0.0005072401672583937,-0.011483933652259415,0.013224241085311724
market-probability-sensitivities-v1,balanced_variant_common,proportional_primary_hierarchy_median,2905956825239035011,WTA,"Wimbledon minus equal-weight mean of Australian Open, Roland Garros, and US Open",2007,2025,19,calendar year jointly across all four Slams,2000,0.3262155727180591,-0.4695013787322229,1.092091083437019,1.320702211796327,-0.7729994531604876,3.1931187197970954,0.9944866390782625,-1.1819343551139538,2.7906985716465638,0.008280914392436084,0.0006429888629139924,0.015709548430841304,0.01977113612151027,0.002514646225880854,0.037203819533578306
market-probability-sensitivities-v1,balanced_all_variants_common,proportional_primary_hierarchy_median,6416187190394577975,ATP,"Wimbledon minus equal-weight mean of Australian Open, Roland Garros, and US Open",2001,2025,25,calendar year jointly across all four Slams,2000,0.2834800491971947,-0.18930790834494465,0.7578265339628644,-0.8020353751720499,-2.1943410444518423,0.4951406653399883,-1.0855154243692486,-2.679251509986311,0.35551713082046216,-0.0005201389000174805,-0.005446703359457782,0.004581281978688673,0.0004897784525863536,-0.01191289730889086,0.0133631836329133
market-probability-sensitivities-v1,balanced_all_variants_common,proportional_primary_hierarchy_median,5199698521018114490,WTA,"Wimbledon minus equal-weight mean of Australian Open, Roland Garros, and US Open",2007,2025,19,calendar year jointly across all four Slams,2000,0.3262155727180591,-0.45109680366671406,1.0382879662813107,1.320702211796327,-0.6964693078526794,3.13092175955787,0.9944866390782625,-1.0309970291063455,2.712454505014329,0.008280914392436084,0.00037500218885528003,0.01544123479749894,0.01977113612151027,0.0019266055265773963,0.036223812526453694
market-probability-sensitivities-v1,primary_completed_non_retirement,proportional_named_books_preferred_mean,12110375244702279314,ATP,"Wimbledon minus equal-weight mean of Australian Open, Roland Garros, and US Open",2001,2025,25,calendar year jointly across all four Slams,2000,0.33274582092641225,-0.12833191814935976,0.7972726720330787,-0.7191032158780608,-2.1744418058229926,0.6142600548692388,-1.0518490368044708,-2.677677099899009,0.460250605273513,-0.0006698527721037684,-0.005749804828736374,0.004563702062302549,0.00021529321997604267,-0.01237598220066355,0.013224852349418859
market-probability-sensitivities-v1,primary_completed_non_retirement,proportional_named_books_preferred_mean,6670595053613221386,WTA,"Wimbledon minus equal-weight mean of Australian Open, Roland Garros, and US Open",2007,2025,19,calendar year jointly across all four Slams,2000,0.35358440922239254,-0.3480758991109011,0.9729680018840933,1.5519194789404303,-0.5214965228262052,3.3621321595533242,1.1983350697180348,-0.8254708534635142,3.0026647358151206,0.008471698437079678,0.000713735953554999,0.015697676298590982,0.02029283893121414,0.0025771902151594086,0.037360136445326625
