robustness_version,odds_availability,tour,slam,dimension,group_value,score_matches,upset_matches,calibration_matches,expected_upsets,actual_upsets,excess_upsets,expected_per_100,actual_per_100,excess_per_100,standardized_excess,brier_score,log_loss,score_tournament_editions,upset_tournament_editions,calibration_tournament_editions
slam-robustness-v1,observed_probability,ATP,Wimbledon,year,2017,117,117,117,36.356904550021135,25,-11.356904550021135,31.074277393180456,21.367521367521366,-9.70675602565909,-2.346814213762827,0.16961388278270623,0.5141997320769139,1,1,1
slam-robustness-v1,observed_probability,ATP,Wimbledon,year,2018,126,126,126,41.07655489739615,37,-4.07655489739615,32.60044039475885,29.365079365079364,-3.235361029679484,-0.7978168232784579,0.19669625412563818,0.5746340156005284,1,1,1
slam-robustness-v1,observed_probability,ATP,Wimbledon,year,2019,124,124,124,40.63222848278511,39,-1.6322284827851092,32.76792619579444,31.451612903225804,-1.3163132925686365,-0.32211740429161617,0.19566204458490824,0.571631294793849,1,1,1
slam-robustness-v1,observed_probability,ATP,Wimbledon,year,2021,123,123,123,43.00479117528098,41,-2.004791175280978,34.96324485795201,33.333333333333336,-1.6299115246186815,-0.3890315881038517,0.19453488497713858,0.5724170769760463,1,1,1
slam-robustness-v1,observed_probability,ATP,Wimbledon,year,2022,122,122,122,42.419576656771035,26,-16.419576656771035,34.770144800631996,21.311475409836067,-13.458669390795931,-3.2013787955395454,0.16960526391850744,0.5182375310857972,1,1,1
slam-robustness-v1,observed_probability,ATP,Wimbledon,year,2023,126,126,126,43.58428252087559,33,-10.58428252087559,34.59070041339332,26.19047619047619,-8.400224222917135,-2.036286181301506,0.18487388517319545,0.5489797217333932,1,1,1
slam-robustness-v1,observed_probability,ATP,Wimbledon,year,2024,121,121,121,40.20758852709987,35,-5.2075885270998725,33.229412005867665,28.925619834710744,-4.303792171156919,-1.0379138490592175,0.18133181355518554,0.5391729369792023,1,1,1
slam-robustness-v1,observed_probability,ATP,Wimbledon,year,2025,122,122,122,41.41089531120247,41,-0.4108953112024665,33.94335681246104,33.60655737704918,-0.33679943541185775,-0.08107967852163743,0.20780881414904306,0.6008979179307353,1,1,1
slam-robustness-v1,observed_probability,WTA,Australian Open,year,2007,126,126,126,31.96199149864642,30,-1.9619914986464195,25.36665991956065,23.809523809523807,-1.5571361100368408,-0.42424353067368,0.15525619399134388,0.47349165378875413,1,1,1
slam-robustness-v1,observed_probability,WTA,Australian Open,year,2008,125,125,125,30.316464553629014,38,7.6835354463709855,24.25317164290321,30.400000000000002,6.146828357096789,1.7061052978761981,0.18249113067539108,0.5366139104290555,1,1,1
slam-robustness-v1,observed_probability,WTA,Australian Open,year,2009,122,122,122,32.22879960525689,34,1.7712003947431114,26.41704885676794,27.868852459016395,1.451803602248452,0.38280531206515406,0.17926297310147865,0.5380946452444161,1,1,1
slam-robustness-v1,observed_probability,WTA,Australian Open,year,2010,126,126,126,31.84460362913699,31,-0.8446036291369907,25.273494943759516,24.6031746031746,-0.6703203405849132,-0.1822461144534398,0.167246546487886,0.499091371668251,1,1,1
slam-robustness-v1,observed_probability,WTA,Australian Open,year,2011,126,126,126,32.37914139409601,33,0.6208586059039902,25.69773126515556,26.19047619047619,0.49274492532062714,0.13290168572321964,0.17354409170366272,0.5163856963379103,1,1,1
slam-robustness-v1,observed_probability,WTA,Australian Open,year,2012,123,123,123,31.26323990946275,31,-0.2632399094627509,25.417268219075407,25.203252032520325,-0.214016186555082,-0.05723380550515916,0.1772486879747215,0.5362839033878195,1,1,1
slam-robustness-v1,observed_probability,WTA,Australian Open,year,2013,127,127,127,33.34062875592244,35,1.6593712440775619,26.252463587340504,27.559055118110237,1.3065915307697338,0.3523715851911896,0.17807034503450467,0.5328708682738051,1,1,1
slam-robustness-v1,observed_probability,WTA,Australian Open,year,2014,126,126,126,33.166045765230464,33,-0.16604576523046433,26.3222585438337,26.19047619047619,-0.13178235335751137,-0.035204827529840534,0.19045051817113695,0.5620872912479054,1,1,1
slam-robustness-v1,observed_probability,WTA,Australian Open,year,2015,127,127,127,34.352452058045046,38,3.6475479419549544,27.049174848854367,29.921259842519685,2.8720849936653186,0.759439853989085,0.19406015003659946,0.5694816167626063,1,1,1
slam-robustness-v1,observed_probability,WTA,Australian Open,year,2016,126,126,126,34.413918157171885,45,10.586081842828115,27.312633458072924,35.714285714285715,8.40165225621279,2.218747609714189,0.21831102653360393,0.6245303900416709,1,1,1
slam-robustness-v1,observed_probability,WTA,Australian Open,year,2017,123,123,123,35.809111780020196,37,1.1908882199798043,29.1130990081465,30.08130081300813,0.9682018048616295,0.24684098752637865,0.20220083585053972,0.5878397016250368,1,1,1
slam-robustness-v1,observed_probability,WTA,Australian Open,year,2018,127,127,127,38.00409659902001,41,2.9959034009799907,29.92448551103938,32.28346456692913,2.3589790558897565,0.6066029944655398,0.19981895568626667,0.5798810377983316,1,1,1
slam-robustness-v1,observed_probability,WTA,Australian Open,year,2019,125,125,125,35.458050639977046,34,-1.4580506399770456,28.366440511981637,27.200000000000003,-1.1664405119816366,-0.3017432446957938,0.17827513102743112,0.5287110319882954,1,1,1
slam-robustness-v1,observed_probability,WTA,Australian Open,year,2020,127,127,127,37.134270288790404,41,3.865729711209596,29.239582904559374,32.28346456692913,3.0438816623697607,0.7812577463693468,0.1955496900794669,0.5681797892529614,1,1,1
slam-robustness-v1,observed_probability,WTA,Australian Open,year,2021,126,126,126,36.72477655752782,31,-5.724776557527818,29.146648061530012,24.6031746031746,-4.543473458355411,-1.1641336798831916,0.1752949870664419,0.5233390147974657,1,1,1
slam-robustness-v1,observed_probability,WTA,Australian Open,year,2022,123,123,123,34.52287819685212,35,0.477121803147881,28.06738064784725,28.455284552845526,0.3879039049982772,0.0997442205516737,0.183225921010053,0.5407026617152986,1,1,1
slam-robustness-v1,observed_probability,WTA,Australian Open,year,2023,127,127,127,37.76499334601575,40,2.23500665398425,29.736215233083268,31.496062992125985,1.7598477590427168,0.4504681607875833,0.19614831798038337,0.5796718156186971,1,1,1
slam-robustness-v1,observed_probability,WTA,Australian Open,year,2024,124,124,124,34.376637694918784,48,13.623362305081216,27.723094915257082,38.70967741935483,10.986582504097754,2.8522155356663728,0.24412094395389325,0.6864756711909644,1,1,1
slam-robustness-v1,observed_probability,WTA,Australian Open,year,2025,126,126,126,35.51886871532108,35,-0.5188687153210765,28.189578345492915,27.777777777777775,-0.41180056771514006,-0.10711357261970059,0.16959486409668023,0.5081593015223098,1,1,1
slam-robustness-v1,observed_probability,WTA,Roland Garros,year,2007,126,126,126,31.951433849735686,28,-3.951433849735686,25.35828083312356,22.22222222222222,-3.1360586109013378,-0.8497794171842364,0.15257691274530139,0.46325038701564336,1,1,1
slam-robustness-v1,observed_probability,WTA,Roland Garros,year,2008,126,126,126,34.78646950502754,41,6.21353049497246,27.608309130974238,32.53968253968254,4.931373408708302,1.304883775761201,0.18369164361159818,0.536712638281692,1,1,1
